75,Quentin Grimes,25,PHI,SG,11,0,338,15.2,.644,.552,.408,1.6,13.8,7.7,20.4,1.4,1.3,19.6,22.5,0.4,0.3,0.7,.095,0.7,-0.3,0.4,0.2,,grimequ01
76,Donovan Mitchell,29,CLE,SG,10,10,338,25.3,.655,.510,.314,2.1,12.5,7.0,27.7,2.1,1.1,11.1,31.0,1.1,0.4,1.5,.209,7.7,0.4,8.1,0.9,,mitchdo01
77,Draymond Green,35,GSW,PF,12,12,336,8.1,.550,.649,.221,1.7,19.8,10.7,27.5,1.3,1.6,29.9,15.3,-0.2,0.4,0.2,.025,-3.6,1.0,-2.6,-0.1,,greendr01
78,Jamal Murray,28,DEN,PG,10,10,335,20.0,.588,.394,.229,2.5,13.3,8.3,24.4,2.0,0.8,10.9,26.6,0.7,0.5,1.2,.172,2.9,-0.3,2.6,0.4,,murraja01
79,Donte DiVincenzo,29,MIN,SG,11,11,334,14.7,.607,.759,.268,3.5,9.3,6.6,15.7,1.9,1.7,10.7,18.0,0.6,0.3,0.9,.129,1.2,0.0,1.2,0.3,,divindo01
80,Herbert Jones,27,NOP,SF,11,11,334,9.9,.567,.511,.117,3.0,11.1,6.7,12.0,2.2,0.6,14.7,14.7,0.1,0.0,0.1,.015,-2.8,-1.2,-4.0,-0.2,,joneshe01
81,Santi Aldama,25,MEM,PF,13,0,333,15.4,.537,.429,.221,6.6,20.7,13.6,16.0,2.0,2.2,10.5,21.4,0.0,0.4,0.4,.058,0.3,0.1,0.4,0.2,,aldamsa01
82,Russell Westbrook,37,SAC,SF,12,6,333,16.0,.559,.447,.234,5.9,19.7,12.6,30.5,1.7,0.6,17.9,24.0,0.1,0.1,0.2,.033,1.9,-0.8,1.2,0.3,,westbru01
83,A.J. Green,26,MIL,SG,12,12,331,9.9,.705,.915,.146,0.3,9.8,5.2,8.4,0.7,0.3,10.3,12.6,0.5,0.1,0.6,.090,-1.4,-1.5,-2.9,-0.1,,greenaj01
84,Deandre Ayton,27,LAL,C,11,11,331,16.4,.671,.000,.160,12.1,17.7,15.0,4.9,0.7,3.0,18.0,20.2,0.3,0.2,0.5,.079,-1.4,-2.0,-3.4,-0.1,,aytonde01
85,Anfernee Simons,26,BOS,SG,13,0,330,13.4,.557,.588,.125,1.6,8.0,4.7,13.9,0.9,0.9,8.2,23.7,0.4,0.3,0.6,.089,0.7,-1.1,-0.4,0.1,,simonan01
86,Jaylen Wells,22,MEM,SG,13,13,330,7.8,.464,.556,.159,5.4,10.1,7.7,9.5,1.1,0.0,6.9,18.2,-0.2,0.1,-0.1,-0.015,-3.8,-2.2,-6.0,-0.3,,wellsja01
87,Bub Carrington,20,WAS,PG,12,5,329,4.7,.453,.450,.175,0.9,13.8,7.4,21.1,1.1,0.5,27.1,14.8,-0.6,0.0,-0.6,-0.085,-5.8,-2.2,-8.0,-0.5,,carrica01
88,Tre Jones,26,CHI,PG,11,11,329,17.5,.609,.175,.536,3.1,10.8,7.2,24.4,3.3,0.5,13.1,17.5,0.7,0.4,1.1,.157,-0.2,1.8,1.6,0.3,,jonestr01
89,Giannis Antetokounmpo,31,MIL,PF,10,10,329,36.2,.661,.078,.527,13.3,26.3,19.9,36.0,1.3,3.5,10.6,36.9,1.6,0.4,2.1,.305,9.9,1.8,11.6,1.1,,antetgi01
90,Harrison Barnes,33,SAS,PF,11,11,327,13.0,.743,.700,.213,2.6,7.8,5.3,9.4,1.6,1.2,16.3,13.5,0.6,0.4,0.9,.138,0.7,0.1,0.8,0.2,,barneha02
91,Ivica Zubac,28,LAC,C,11,11,327,20.4,.639,.000,.246,13.2,27.8,20.6,12.8,0.8,3.7,15.0,20.9,0.6,0.2,0.8,.123,0.8,-1.2,-0.4,0.1,,zubaciv01
92,Christian Braun,24,DEN,SG,11,11,325,12.8,.569,.289,.299,6.7,9.5,8.2,12.9,1.3,0.9,11.3,16.1,0.4,0.4,0.8,.124,-1.1,-0.6,-1.8,0.0,,braunch01
93,Austin Reaves,27,LAL,SG,9,9,324,24.4,.628,.463,.543,1.5,14.9,8.5,36.9,1.9,0.0,12.9,30.9,1.1,0.2,1.3,.197,5.3,-0.6,4.7,0.6,,reaveau01
94,Jock Landale,30,MEM,C,13,13,323,15.0,.667,.347,.221,9.4,14.0,11.7,11.1,1.2,1.7,11.8,15.2,0.6,0.2,0.8,.117,0.2,-0.4,-0.2,0.1,,landajo01
95,Jarace Walker,22,IND,PF,11,7,323,6.8,.436,.477,.211,2.3,17.1,9.0,17.3,0.7,1.7,14.6,20.4,-0.6,0.2,-0.4,-0.053,-4.3,-1.5,-5.8,-0.3,,walkeja02
96,Michael Porter Jr.,27,BRK,SF,10,10,320,18.0,.590,.492,.243,3.9,23.8,13.0,15.4,1.1,0.6,11.7,29.1,0.2,0.0,0.2,.033,2.9,-2.5,0.4,0.2,,portemi01
97,Jalen Duren,22,DET,C,11,11,319,26.5,.705,.000,.613,16.6,27.2,21.9,8.6,1.8,4.0,15.2,22.7,1.1,0.7,1.8,.264,3.3,0.6,3.9,0.5,,durenja01
98,Nic Claxton,26,BRK,C,11,11,318,22.3,.656,.038,.510,11.2,17.0,13.8,22.2,1.7,3.4,10.5,18.8,1.0,0.0,1.1,.163,3.1,0.2,3.3,0.4,,claxtni01
99,Anthony Black,22,ORL,PG,12,2,317,11.1,.565,.410,.314,2.5,10.9,6.8,13.0,2.2,2.4,18.4,19.2,-0.1,0.4,0.3,.045,-2.5,0.8,-1.8,0.0,,blackan01
100,Matas Buzelis,21,CHI,PF,11,11,315,13.1,.602,.407,.244,4.3,16.5,10.7,5.9,1.3,2.9,15.0,21.2,0.0,0.3,0.3,.053,-2.2,-0.9,-3.0,-0.1,,buzelma01
101,Jalen Johnson,24,ATL,SF,10,10,315,22.4,.650,.186,.286,3.9,25.3,14.9,28.3,2.0,0.9,13.7,24.5,0.7,0.6,1.3,.195,2.9,2.0,4.8,0.5,,johnsja05
102,Aaron Nesmith,26,IND,SF,10,10,315,12.1,.520,.580,.261,5.0,10.2,7.3,8.1,1.2,0.9,4.9,20.6,0.2,0.2,0.4,.059,-0.3,-1.9,-2.2,0.0,,nesmiaa01
103,Neemias Queta,26,BOS,C,13,13,311,19.1,.656,.039,.338,12.9,23.6,18.1,9.5,1.6,5.8,12.8,13.9,0.7,0.6,1.3,.201,-0.4,1.9,1.5,0.3,,quetane01
104,Tre Johnson,19,WAS,SG,12,4,310,9.8,.554,.512,.114,2.3,11.4,6.9,8.0,0.6,1.6,12.8,19.7,-0.1,-0.1,-0.2,-0.031,-1.8,-3.2,-5.0,-0.2,,johnstr03
105,Julian Champagnie,24,SAS,SF,11,8,308,10.9,.578,.737,.342,3.9,16.6,10.5,6.7,2.2,1.2,14.6,14.1,0.1,0.5,0.6,.092,-1.4,0.5,-0.9,0.1,,champju02
106,Josh Giddey,23,CHI,PG,9,9,307,20.6,.560,.262,.356,4.4,24.6,15.0,41.0,1.4,0.8,15.2,27.6,0.5,0.3,0.8,.126,3.1,0.5,3.6,0.4,,giddejo01
107,Kentavious Caldwell-Pope,32,MEM,SG,13,13,304,9.3,.484,.485,.268,1.7,11.0,6.3,18.8,1.7,1.2,12.2,16.8,-0.1,0.2,0.1,.012,-3.3,-0.4,-3.7,-0.1,,caldwke01
