id,firstName,lastName,multiplierBonus
4397152,Jack,Clark,0.4
5061585,Isaiah,Evans,1.4
5144372,Isaiah,Brown,3
4702973,Isaiah,Gray,0.2
4592702,Isaiah,Ihnen,0.7
4703415,Marcus,Fitzgerald Jr.,0
23574,Marcus,Watson Jr.,1.6
5176420,Hayden,Gray,0
4432321,Cameron,Sheffield,3
4897018,Camren,Hunter,3
5238229,Campbell,Duncan,3
5175361,Dramane,Camara,0
5107150,Camden,McCormick,0
5241722,Cameron,McNamee,3
4432737,Jaden,Bradley,0.4
4683730,Jaden,Akins,0.5
5061605,Jaden,Steppe,3
5107209,Jaden,Clayton,1.2
5240539,Ruben,Prey,3
5105587,Grant,Newell,1.8
4433068,J'Wan,Roberts,0.4
5241234,Kyle,Jorgensen,2.7
5107567,Kyle,Evans,2.1
5107163,Elijah,Chol,1.1
5242637,Elijah,Espinosa,0
5177190,Shawn,Fulcher,1.8
4703032,O'Mar,Stanley,1.2
5175359,Josh,Townley-Thomas,3
5106245,Josh,Baldwin,3
5241492,Josh,Michigan,3
4898366,Josh,Ozabor,0
4700859,Josh,Smith,0
5239554,Malachi,Palmer,3
4433068,J'Wan,Roberts,0.4
5110430,Jack,Robison,3
4683741,Jakai,Robinson,2.6
4897439,Logan,Stephens,3
5164369,Emmanuel,Stephen,3
5105459,Chance,Stephens,3
5175970,Curtis,Blair III,0
5179096,Michael,Teal,1.3
4873209,Patrick,Ngongba II,2.1
4901675,Patrick,Antonelli,3
5177124,Patrick,Haigh,0
5175920,Patrick,Tivnan Jr.,0
5107375,Sam,Alexis,2.2
4683781,Sam,Walters,2.8
4701553,Sami,Osmani,3
5193438,Sam,Yurasek,3
5177187,Samson,Aletan,0.7
5177582,Cowandric,Samuel,3
5061606,Sammie,Yeanay,0
4683941,RJ,Keene II,2.3
5174594,Baraka,Okojie,3
5107163,Elijah,Chol,1.1
5242637,Elijah,Espinosa,0
4711255,Jeremy,Fears Jr.,0.9
4684988,Percy,Daniels,3
5101672,Daniel,Freitag,3
5105836,Roddy,Gayle Jr.,1
4432737,Jaden,Bradley,0.4
4683730,Jaden,Akins,0.5
5061605,Jaden,Steppe,3
5107209,Jaden,Clayton,1.2
5177123,Jonathan,Ogunfuye,3
5181258,Ben,Murphy,3
5239596,Ben,Woodward,2.8
5174658,Bennett,Andersen,0
5106052,Ben,Bayela,0
5175919,Ben,Brown,0
5176396,Ben,Egbo,3
4897676,Bent,Leuchten,0.2
5238227,Ben,Linnemeyer,0
4711256,Caleb,Foster,2
5145712,Lefteris,Liotopoulos,3
4592489,Alejandro,Vasquez,0.7
4710352,Malcolm,Dread,3
4702110,Collin,Moore,0.5
5106241,Jayden,Williams,0.7
5176752,Chris,Fields Jr.,1.3
4897493,Denver,Jones,0.7
4432430,Rubin,Jones,3
5143607,Drayton,Jones,0.8
4898280,Terrance,Jones,3
5241232,Jon,Mekonnen,0
5177123,Jonathan,Ogunfuye,3
5174293,Tyler,Ringgold,2.7
5178892,Tyler,Mack,2.5
4703883,Tyler,McGhie,0
5241377,Tyler,Medaris,0
5241382,Tyler,Weaver,0
5105964,Jayden,Dawson,0.3
5239717,Jayden,Brown,0
5243405,Jayden,Johnson,0.6
5106241,Jayden,Williams,0.7
5107163,Elijah,Chol,1.1
5242637,Elijah,Espinosa,0
4897686,Francis,Nwaokorie,1.3
4683951,Rafael,Pinzon,1.4
5174807,Jack,Janicki,3
5241931,Jovan,Jester Jr.,0
5243405,Jayden,Johnson,0.6
4702110,Collin,Moore,0.5
5107163,Elijah,Chol,1.1
5242637,Elijah,Espinosa,0
4897649,Jordan,Gainey,0.5
4894453,Mari,Jordan,1.5
4432512,Jordan,Geronimo,2.2
