,Fadeaway Msde,Fadeaway/G,Fadeaway FG%,FGA,GP
2014Harrison Barnes,45,0.576923077,0.494505495,91,78
2017Andrew Harrison,45,0.625,0.251396648,179,72
2017Bradley Beal,45,0.584415584,0.357142857,126,77
2017Nerlens Noel,45,0.882352941,0.714285714,63,51
2017Willie Cauley-Stein,45,0.6,0.849056604,53,75
2018Joel Embiid,45,0.714285714,0.865384615,52,63
2021James Wiseman,45,1.153846154,0.918367347,49,39
2023Tyus Jones,45,0.5625,0.36,125,80
2016Brandon Bass,44,0.666666667,0.916666667,48,66
2016Cody Zeller,44,0.602739726,0.88,50,73
2016Timofey Mozgov,44,0.578947368,0.556962025,79,76
2017Shabazz Muhammad,44,0.564102564,0.511627907,86,78
2017Spencer Dinwiddie,44,0.745762712,0.338461538,130,59
2019Ben Simmons,44,0.556962025,0.88,50,79
2020Jaxson Hayes,44,0.6875,0.88,50,64
2020LeBron James,44,0.656716418,0.468085106,94,67
2022DeAndre Jordan,44,0.916666667,0.897959184,49,48
2022Jaxson Hayes,44,0.628571429,0.916666667,48,70
2014Blake Griffin,43,0.5375,0.781818182,55,80
2014Reggie Jackson,43,0.5375,0.614285714,70,80
2015Andrew Bogut,43,0.641791045,0.754385965,57,67
2015Evan Turner,43,0.524390244,0.754385965,57,82
2015Timofey Mozgov,43,0.530864198,0.934782609,46,81
2016Nikola Vucevic,43,0.661538462,0.524390244,82,65
2016Taj Gibson,43,0.589041096,0.934782609,46,73
2017Tobias Harris,43,0.524390244,0.551282051,78,82
2018Aaron Gordon,43,0.74137931,0.934782609,46,58
2018Tyson Chandler,43,0.934782609,0.826923077,52,46
2019Julius Randle,43,0.589041096,0.544303797,79,73
2021Robert Williams III,43,0.826923077,0.826923077,52,52
2022Nic Claxton,43,0.914893617,0.87755102,49,47
2023Jeremy Sochan,43,0.767857143,0.530864198,81,56
2014Andrew Bogut,42,0.626865672,0.913043478,46,67
2014Brandan Wright,42,0.724137931,0.933333333,45,58
2016Andre Roberson,42,0.6,0.6,70,70
2016Bismack Biyombo,42,0.512195122,0.875,48,82
2016Boris Diaw,42,0.552631579,0.6,70,76
2017Blake Griffin,42,0.68852459,0.392523364,107,61
2020Andre Drummond,42,0.736842105,0.617647059,68,57
2020Zion Williamson,42,1.75,0.823529412,51,24
2021Christian Wood,42,1.024390244,0.823529412,51,41
2021Richaun Holmes,42,0.68852459,0.954545455,44,61
2022Miles Bridges,42,0.525,0.875,48,80
2023Andrew Nembhard,42,0.56,0.368421053,114,75
2023Devonte' Graham,42,0.575342466,0.341463415,123,73
2023John Collins,42,0.591549296,0.677419355,62,71
2023Tre Jones,42,0.617647059,0.411764706,102,68
2016Festus Ezeli,41,0.891304348,0.854166667,48,46
2016John Henson,41,0.719298246,0.621212121,66,57
2018Alex Len,41,0.594202899,0.82,50,69
2018Lou Williams,41,0.518987342,0.482352941,85,79
2021Bismack Biyombo,41,0.621212121,0.891304348,46,66
2022Mo Bamba,41,0.577464789,0.872340426,47,71
2023Jerami Grant,41,0.650793651,0.431578947,95,63
2016Jabari Parker,40,0.526315789,0.305343511,131,76
2016Myles Turner,40,0.666666667,0.666666667,60,60
2017Kristaps Porzingis,40,0.606060606,0.634920635,63,66
2020Marquese Chriss,40,0.677966102,0.888888889,45,59
2020Willie Cauley-Stein,40,0.740740741,0.909090909,44,54
2023Austin Reaves,40,0.625,0.470588235,85,64
2023Brook Lopez,40,0.512820513,0.8,50,78
2023Keldon Johnson,40,0.634920635,0.357142857,112,63
2014Miles Plumlee,39,0.4875,0.886363636,44,80
2015Avery Bradley,39,0.506493506,0.629032258,62,77
2015Kyrie Irving,39,0.52,0.582089552,67,75
2016Stephen Curry,39,0.493670886,0.423913043,92,79
2017Rondae Hollis-Jefferson,39,0.5,0.453488372,86,78
