RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Post Up Shot Making,Post Up Impact Per 75 Possessions,Stable Post Up PPP,Post Up Shot Making Efficiency,Post Up Shooting Talent,Post Up Shot Quality,Post Up Shot Making_percentile,Post Up Impact Per 75 Possessions_percentile,Stable Post Up PPP_percentile,Post Up Shot Making Efficiency_percentile,Post Up Shooting Talent_percentile,Post Up Shot Quality_percentile
1627,2024-25,Anfernee Simons,25,POR,2292,Starter,Shot Creator,Low Activity,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1628,2018-19,Zhaire Smith,19,PHI,111,Too Few Games,Movement Shooter,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1629,2019-20,Zhaire Smith,20,PHI,32,Too Few Games,Low Minute,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1630,2018-19,Omari Spellman,21,ATL,805,Rotation,Stretch Big,Helper,-0.12,0,0.87,-0.47,-0.53,-0.02,38.61,12.81,8.43,51.43,59.94,49.39
1631,2019-20,Omari Spellman,22,GSW,886,Rotation,Stretch Big,Helper,-0.33,-0.39,0.8,-0.86,-0.35,0.71,12.66,1.58,2.21,18.08,75.44,80.35
1632,2020-21,Khyri Thomas,24,HOU,153,Too Few Games,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1633,2018-19,Khyri Thomas,22,DET,195,Garbage Time,Movement Shooter,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1634,2019-20,Khyri Thomas,23,DET,61,Garbage Time,Low Minute,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1635,2024-25,Gary Trent Jr.,26,MIL,1893,Key Rotation,Movement Shooter,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1636,2025-26,Gary Trent Jr.,27,MIL,1377,Key Rotation,Movement Shooter,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1637,2018-19,Gary Trent Jr.,20,POR,111,Garbage Time,Secondary Ball Handler,Chaser,0.01,0,0.87,-0.25,-0.23,-0.23,66.49,12.81,8.43,70.02,81.26,36.91
1638,2019-20,Gary Trent Jr.,21,POR,1332,Rotation,Movement Shooter,Chaser,0.21,0,0.87,0.26,-0.08,-0.39,83.91,12.81,8.43,89.07,85.73,28.85
1639,2020-21,Gary Trent Jr.,22,POR/TOR,1802,Starter,Off Screen Shooter,Chaser,-0.12,0,0.87,-0.52,-0.51,-0.89,38.61,12.81,8.43,46.39,62.19,11.21
1640,2021-22,Gary Trent Jr.,23,TOR,2448,Starter,Secondary Ball Handler,Chaser,0.06,0,0.87,-0.06,-0.33,-1.38,74.2,12.81,8.43,80.41,76.79,4.25
1641,2022-23,Gary Trent Jr.,24,TOR,2118,Starter,Movement Shooter,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
1642,2023-24,Gary Trent Jr.,25,TOR,1994,Key Rotation,Movement Shooter,Chaser,-0.2,0,0.87,-0.76,-0.56,0.06,24.09,12.81,8.43,24.57,56.89,54.27
1643,2018-19,Allonzo Trier,23,NYK,1458,Key Rotation,Shot Creator,Low Activity,-0.23,0,0.87,-0.69,-0.61,0.59,20.35,12.81,8.43,29.95,52.06,76.31
1644,2019-20,Allonzo Trier,24,NYK,291,Garbage Time,Secondary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1645,2022-23,Jarred Vanderbilt,23,UTA/LAL,1880,Key Rotation,Roll + Cut Big,Wing Stopper,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
1646,2023-24,Jarred Vanderbilt,24,LAL,581,Rotation,Athletic Finisher,Wing Stopper,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
1647,2024-25,Jarred Vanderbilt,25,LAL,581,Rotation,Athletic Finisher,Helper,-0.22,0,0.87,-0.98,-0.59,0.64,21.42,12.81,8.43,12.72,53.5,77.86
1648,2025-26,Jarred Vanderbilt,26,LAL,1093,Rotation,Stationary Shooter,Helper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1649,2019-20,Jarred Vanderbilt,20,DEN/MIN,47,Garbage Time,Low Minute,Helper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1650,2020-21,Jarred Vanderbilt,21,MIN,1139,Rotation,Roll + Cut Big,Helper,-0.12,0,0.87,-0.58,-0.51,-0.4,38.61,12.81,8.43,39.37,62.19,28.38
1651,2021-22,Jarred Vanderbilt,22,MIN,1880,Key Rotation,Athletic Finisher,Wing Stopper,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
1652,2018-19,Jarred Vanderbilt,19,DEN,69,Garbage Time,Low Minute,Helper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1653,2025-26,Moritz Wagner,28,ORL,427,Rotation,Versatile Big,Mobile Big,-0.03,0,0.87,-0.59,0.68,-0.07,58.02,12.81,8.43,38.2,94.09,46.33
1654,2022-23,Lonnie Walker IV,24,LAL,1297,Key Rotation,Stationary Shooter,Chaser,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
1655,2024-25,Lonnie Walker IV,26,PHI,477,Key Rotation,Secondary Ball Handler,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1656,2018-19,Lonnie Walker IV,20,SAS,118,Garbage Time,Secondary Ball Handler,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1657,2019-20,Lonnie Walker IV,21,SAS,988,Rotation,Slasher,Chaser,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1658,2020-21,Lonnie Walker IV,22,SAS,1522,Key Rotation,Movement Shooter,Wing Stopper,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1659,2021-22,Lonnie Walker IV,23,SAS,1612,Key Rotation,Secondary Ball Handler,Chaser,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
1660,2023-24,Lonnie Walker IV,25,BRK,1011,Rotation,Secondary Ball Handler,Low Activity,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
1661,2019-20,P.J. Washington,21,CHO,1759,Starter,Versatile Big,Helper,-0.17,-0.21,0.85,-0.43,0.26,-0.32,29.2,3.88,6.22,55.34,90.54,31.81
1662,2020-21,P.J. Washington,22,CHO,1954,Starter,Stretch Big,Wing Stopper,-1.13,-0.53,0.72,-1.99,-1.01,0.16,0.76,0.85,0.09,0.5,0.27,59.09
1663,2021-22,P.J. Washington,23,CHO,1768,Starter,Movement Shooter,Helper,-0.16,-0.1,0.83,-0.49,-0.4,-0.18,31.12,7.4,4.15,49.76,71.75,40.47
1664,2022-23,P.J. Washington,24,CHO,2380,Starter,Movement Shooter,Wing Stopper,-0.3,-0.05,0.91,-0.76,-0.21,0.22,14.24,9.86,90.24,24.57,82.08,61.95
1665,2023-24,P.J. Washington,25,CHO/DAL,2221,Key Rotation,Stationary Shooter,Wing Stopper,-0.36,-0.05,0.88,-1.06,-0.6,-0.71,11.15,9.86,86.29,9.7,52.79,16.57
1666,2024-25,P.J. Washington,26,DAL,1835,Starter,Shot Creator,Wing Stopper,-0.2,-0.19,0.87,-0.78,-0.07,0.02,24.09,4.32,8.43,23.21,85.97,51.97
1667,2025-26,P.J. Washington,27,DAL,1736,Starter,Shot Creator,Wing Stopper,-0.09,0,0.87,-0.57,-0.1,-0.98,44.79,12.81,8.43,40.38,85.05,9.51
1668,2018-19,Kenrich Williams,24,NOP,1079,Key Rotation,Movement Shooter,Wing Stopper,0.13,0,0.87,0.03,-0.26,-0.09,80.35,12.81,8.43,83.84,80.16,45.39
1669,2019-20,Kenrich Williams,25,NOP,832,Key Rotation,Stationary Shooter,Wing Stopper,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1670,2020-21,Kenrich Williams,26,OKC,1426,Key Rotation,Athletic Finisher,Chaser,-0.12,-0.05,0.87,-0.55,-0.34,0.2,38.61,9.86,8.43,42.55,76.24,61.13
1671,2021-22,Kenrich Williams,27,OKC,1072,Key Rotation,Movement Shooter,Helper,-0.89,-0.32,0.75,-1.8,-1.15,0.38,2.02,2.17,0.56,0.91,0.14,68.35
1672,2022-23,Kenrich Williams,28,OKC,1206,Starter,Stationary Shooter,Helper,-0.08,-0.09,0.85,-0.5,-0.43,-1.05,47.31,7.77,6.22,48.44,68.94,8.31
1673,2023-24,Kenrich Williams,29,OKC,1029,Rotation,Stationary Shooter,Helper,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
1674,2024-25,Kenrich Williams,30,OKC,1132,Rotation,Stationary Shooter,Helper,-0.12,0,0.87,-0.71,-0.47,-0.05,38.61,12.81,8.43,28.57,65.69,47.65
1675,2025-26,Kenrich Williams,31,OKC,791,Rotation,Stationary Shooter,Helper,-0.22,0,0.87,-0.89,-0.52,0.73,21.42,12.81,8.43,16.47,61,80.79
1676,2018-19,Trae Young,20,ATL,2503,Starter,Primary Ball Handler,Point of Attack,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1677,2019-20,Trae Young,21,ATL,2120,Star,Primary Ball Handler,Point of Attack,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1678,2020-21,Trae Young,22,ATL,2125,Star,Primary Ball Handler,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1679,2021-22,Trae Young,23,ATL,2652,Star,Shot Creator,Low Activity,,0,0.87,,-0.77,,,12.81,8.43,,16.32,
1680,2022-23,Trae Young,24,ATL,2541,Star,Shot Creator,Low Activity,,0,0.87,,-0.79,,,12.81,8.43,,9.04,
1681,2023-24,Trae Young,25,ATL,1942,Star,Shot Creator,Chaser,,0,0.87,,-0.82,,,12.81,8.43,,3.49,
1682,2024-25,Trae Young,26,ATL,2739,Star,Primary Ball Handler,Low Activity,,0,0.87,,-0.76,,,12.81,8.43,,21.78,
1683,2025-26,Trae Young,27,ATL/WAS,384,Key Rotation,Primary Ball Handler,Chaser,,0,0.87,,-0.75,,,12.81,8.43,,35.04,
1684,2025-26,Deandre Ayton,27,LAL,1903,Key Rotation,Roll + Cut Big,Mobile Big,0.55,0,0.87,0.33,0.79,0.63,91.75,12.81,8.43,90.17,94.62,77.67
1685,2018-19,Deandre Ayton,20,PHO,2183,Starter,Post Scorer,Anchor Big,1.68,0.48,1,0.97,2.78,0.24,97.86,99.1,97.86,96.44,98.92,62.71
1686,2019-20,Deandre Ayton,21,PHO,1236,Starter,Post Scorer,Anchor Big,0.12,-0.63,0.81,-0.16,1.43,-0.89,79.43,0.56,2.78,75.46,96.87,11.21
