RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Talent_percentile,Midrange Shot Making_percentile,Midrange Shot Creation_percentile,Midrange Pull Up Talent_percentile,Midrange Pull Up Shot Making_percentile,Midrange Pull Up Shot Making Efficiency_percentile,Stable Long Midrange FG%_percentile,Stable Short Midrange FG%_percentile,Midrange FGM Per 75_percentile,Midrange Pull Up FGM Per 75_percentile,Midrange Shot Making Efficiency,Midrange Pull Up FG%,Midrange Shot Making Efficiency_percentile,Midrange Pull Up FG%_percentile
3346,2024-25,Maxwell Lewis,22,LAL/BRK,328,Garbage Time,Movement Shooter,Helper,-0.37,-0.26,0.03,-0.39,-0.28,-1.19,40,41.25,0.8,0.68,57.24,27.68,65.45,57.46,24.62,14.71,37.24,53.48,35.4,69.57,-1.03,42.86,20.01,69.07
3347,2023-24,Jordan Hawkins,21,NOP,1161,Rotation,Movement Shooter,Low Activity,-0.6,-0.44,-0.25,-0.55,-0.38,-1.12,40.53,41.37,1.32,0.94,36.98,14.01,54.52,43.91,16.44,17.05,49.83,54.63,53.67,77.28,-1.22,40,13.38,58.96
3348,2024-25,Jordan Hawkins,22,NOP,1321,Key Rotation,Off Screen Shooter,Chaser,-0.13,-0.11,0.21,-0.16,-0.18,-0.57,41.7,40.31,1.79,1.46,71.09,46.39,72.28,70.33,36.76,47.3,76.38,43.99,67.64,88.17,-0.4,39.85,55.94,58.84
3349,2025-26,Jordan Hawkins,23,NOP,636,Rotation,Off Screen Shooter,Chaser,-0.37,-0.35,-0.05,-0.29,-0.24,-0.82,39.54,40.58,1.24,0.96,57.24,19.82,62.22,63.34,28.99,31.59,30.87,46.55,50.92,77.76,-1.1,32.69,17.33,37.76
3350,2023-24,Kobe Bufkin,20,ATL,196,Garbage Time,Secondary Ball Handler,Point of Attack,0.33,0.13,0.94,0.34,0.17,-0.06,42.01,45.41,3.54,3.16,84.58,77.81,91.94,84.7,79.57,73.65,81.08,89.95,93.89,98.92,-0.14,50,69.24,85.91
3351,2024-25,Kobe Bufkin,21,ATL,124,Garbage Time,Secondary Ball Handler,Point of Attack,-0.02,0.13,0.3,-0.02,0.14,-0.13,41.13,45.22,2,0.86,75.68,77.81,75.29,75.81,78.21,71.12,64.08,89.11,72.74,75.16,-0.11,37.5,70.45,51.61
3352,2025-26,Kobe Bufkin,22,LAL,119,Garbage Time,Secondary Ball Handler,Point of Attack,-0.26,-0.16,0.27,-0.25,-0.13,-1.05,39.82,43.72,,0.61,64.52,39.74,74.37,65.74,43.63,19.81,34.82,77.22,,66.85,-1.1,28.57,17.33,30.96
3353,2023-24,Jett Howard,20,ORL,67,Garbage Time,Low Minute,Helper,-0.78,-0.04,-1.37,-0.74,-0.04,-0.75,41.77,44.27,,0.52,18.67,58.48,13.21,22.61,58.99,35.82,77.54,82.78,,63.67,-0.75,50,34.55,85.91
3354,2024-25,Jett Howard,21,ORL,701,Rotation,Movement Shooter,Low Activity,-0.41,-0.04,-0.46,-0.45,-0.08,-0.26,42.12,44.09,1.06,0.69,54.42,58.48,46.22,52.95,51.63,64.9,83.67,81.04,44.69,70.02,-0.09,50,71.36,85.91
3355,2025-26,Jett Howard,22,ORL,695,Rotation,Movement Shooter,Chaser,-0.48,-0.3,-0.09,-0.46,-0.31,-1.12,40.09,42.96,1.16,0.21,48.88,23.69,60.73,52.25,21.93,17.05,39.39,70.28,48.21,47.06,-1.02,40,20.4,58.96
3356,2025-26,Trey Alexander,22,NOP,64,Rotation,Secondary Ball Handler,Point of Attack,-0.02,-0.05,0.57,-0.03,-0.04,-0.67,41.37,43.38,1.68,1.12,75.68,56.77,83.12,75.42,58.99,41.24,70.44,74.24,65,81.58,-0.66,100,40.17,97.76
3357,2024-25,Trey Alexander,21,DEN,116,Garbage Time,Secondary Ball Handler,Point of Attack,-0.04,-0.02,0.39,-0.05,-0.01,-0.39,41.49,44.25,2.37,1.78,74.73,62.22,77.8,74.68,64.56,57.87,73.3,82.65,81.01,92.51,-0.35,42.86,58.69,69.07
3358,2023-24,Dereck Lively II,19,DAL,1294,Key Rotation,Roll + Cut Big,Anchor Big,-0.81,-0.22,-1.52,-0.88,-0.25,-0.67,42.49,45.06,0.68,0,16.5,32.27,9.36,12.19,27.85,41.24,88.32,88.34,30.97,0,-0.57,0,45.34,0
