Season,Player,NBA_ID,D-LEBRON,D_LEBRON_Rank,LEBRON,LEBRON_Rank,Minutes,O-LEBRON,O_LEBRON_Rank,player_name,year
2009-10,jerry stackhouse,711,-0.9,336.5,-1.29,295.5,855.0,-0.39,192.0,jerry stackhouse,2010
2009-10,jerryd bayless,201573,-1.95,417.0,-1.43,310.0,1304.0,0.52,96.0,jerryd bayless,2010
2009-10,jj hickson,201581,-0.74,316.0,-2.04,372.5,1691.0,-1.29,318.0,jj hickson,2010
2009-10,jj redick,200755,-0.82,325.0,0.72,84.0,1808.0,1.53,35.0,jj redick,2010
2009-10,joakim noah,201149,1.07,54.0,-0.09,139.0,1925.0,-1.16,301.0,joakim noah,2010
2009-10,jodie meeks,201975,-1.13,363.5,-0.95,240.0,719.0,0.18,123.5,jodie meeks,2010
2009-10,joe alexander,201570,-0.22,222.5,-0.16,144.5,29.0,0.06,134.0,joe alexander,2010
2009-10,joe johnson,2207,-1.25,373.0,1.91,40.0,2886.0,3.15,11.0,joe johnson,2010
2009-10,joe smith,693,-1.33,383.0,-2.5,393.0,592.0,-1.17,302.5,joe smith,2010
2009-10,joel anthony,201202,1.86,27.0,-1.25,287.0,1322.0,-3.1,422.0,joel anthony,2010
2009-10,joel przybilla,2038,3.55,3.0,0.07,122.0,681.0,-3.48,427.0,joel przybilla,2010
2009-10,joey dorsey,201595,0.31,134.5,-0.05,136.0,107.0,-0.36,188.0,joey dorsey,2010
2009-10,joey graham,101121,-0.38,251.0,-3.1,414.0,759.0,-2.72,415.0,joey graham,2010
2009-10,johan petro,101130,0.85,69.5,-1.58,333.5,435.0,-2.43,406.0,johan petro,2010
2009-10,john salmons,2422,0.85,69.5,0.43,103.5,2825.0,-0.43,196.5,john salmons,2010
2009-10,jon brockman,201972,-0.37,249.0,-0.89,232.5,654.0,-0.53,213.5,jon brockman,2010
2009-10,jonas jerebko,201973,0.47,109.0,0.95,68.5,2232.0,0.48,97.5,jonas jerebko,2010
2009-10,jonathan bender,1886,-0.11,207.0,-1.98,370.0,292.0,-1.86,372.5,jonathan bender,2010
2009-10,jonny flynn,201938,-2.37,424.0,-3.89,425.0,2339.0,-1.52,342.5,jonny flynn,2010
2009-10,jordan farmar,200770,-0.75,318.5,-1.33,302.5,1474.0,-0.58,220.0,jordan farmar,2010
2009-10,jordan hill,201941,-0.22,222.5,-1.0,244.5,624.0,-0.78,246.5,jordan hill,2010
2009-10,jose calderon,101181,-1.49,395.0,0.53,96.0,1817.0,2.03,22.0,jose calderon,2010
2009-10,josh boone,200767,1.04,55.0,-1.06,253.0,1045.0,-2.1,388.0,josh boone,2010
2009-10,josh howard,2572,-0.94,340.0,-1.29,295.5,918.0,-0.35,186.5,josh howard,2010
2009-10,josh mcroberts,201177,0.4,120.5,-0.43,181.0,524.0,-0.83,261.0,josh mcroberts,2010
2009-10,josh powell,2694,-2.16,421.0,-5.29,428.0,581.0,-3.14,423.0,josh powell,2010
2009-10,josh smith,2746,2.34,13.0,3.61,8.0,2870.0,1.27,43.5,josh smith,2010
2009-10,jr smith,2747,-0.97,345.5,1.36,55.0,2082.0,2.32,19.0,jr smith,2010
2009-10,jrue holiday,201950,-0.48,268.5,-0.64,199.0,1767.0,-0.16,155.5,jrue holiday,2010
2009-10,julian wright,201153,0.02,177.5,-2.2,384.0,871.0,-2.22,396.5,julian wright,2010
2009-10,juwan howard,436,-1.29,379.0,-3.48,421.0,1632.0,-2.19,394.5,juwan howard,2010
2009-10,kareem rush,2416,-0.1,205.0,-0.59,194.0,58.0,-0.49,205.5,kareem rush,2010
2009-10,keith bogans,2586,0.21,151.5,-1.62,343.0,1559.0,-1.83,371.0,keith bogans,2010
2009-10,kelenna azubuike,101235,-0.07,198.5,0.1,117.5,231.0,0.18,123.5,kelenna azubuike,2010
2009-10,kendrick perkins,2570,2.03,21.5,0.7,86.5,2154.0,-1.34,323.0,kendrick perkins,2010
2009-10,kenny thomas,1903,0.65,83.0,-0.84,223.5,313.0,-1.48,338.0,kenny thomas,2010
2009-10,kenyon martin,2030,1.31,48.0,-0.84,223.5,1986.0,-2.15,389.0,kenyon martin,2010
2009-10,kevin durant,201142,0.95,63.5,5.63,4.0,3239.0,4.68,3.0,kevin durant,2010
2009-10,kevin garnett,708,2.03,21.5,2.6,27.0,2060.0,0.57,90.0,kevin garnett,2010
2009-10,kevin love,201567,-0.66,301.5,0.65,90.0,1714.0,1.31,42.0,kevin love,2010
2009-10,kevin martin,2755,-1.65,406.0,-0.45,184.5,1633.0,1.2,53.0,kevin martin,2010
2009-10,kevin ollie,1563,-0.66,301.5,-2.69,404.0,263.0,-2.03,382.0,kevin ollie,2010
2009-10,keyon dooling,2039,-0.96,342.5,-1.55,328.5,971.0,-0.6,224.0,keyon dooling,2010
2009-10,kirk hinrich,2550,0.59,92.5,0.16,114.0,2481.0,-0.43,196.5,kirk hinrich,2010
2009-10,kobe bryant,977,0.22,149.0,3.38,12.5,2835.0,3.16,9.5,kobe bryant,2010
2009-10,kosta koufos,201585,-0.57,287.5,-2.62,401.0,172.0,-2.05,385.0,kosta koufos,2010
2009-10,kris humphries,2743,-0.23,226.0,-1.58,333.5,1221.0,-1.35,324.5,kris humphries,2010
2009-10,kurt thomas,703,1.47,43.0,-1.2,281.5,1049.0,-2.67,411.5,kurt thomas,2010
2009-10,kwame brown,2198,-0.34,246.5,-2.83,407.0,660.0,-2.49,407.0,kwame brown,2010
2009-10,kyle korver,2594,0.53,103.0,0.75,82.0,952.0,0.22,118.5,kyle korver,2010
2009-10,kyle lowry,200768,0.41,118.5,1.94,38.0,1651.0,1.52,36.0,kyle lowry,2010
2009-10,kyle weaver,201602,-0.4,256.5,-1.25,287.0,144.0,-0.85,265.5,kyle weaver,2010
2009-10,kyrylo fesenko,201178,0.79,72.0,-1.09,261.0,408.0,-1.88,375.0,kyrylo fesenko,2010
2009-10,lamar odom,1885,1.94,25.0,1.44,51.0,2585.0,-0.5,208.0,lamar odom,2010
2009-10,lamarcus aldridge,200746,0.52,104.0,1.79,43.0,2922.0,1.27,43.5,lamarcus aldridge,2010
2009-10,larry hughes,1716,-0.04,189.5,-1.32,300.0,1115.0,-1.28,315.5,larry hughes,2010
