RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,3PT Shot Making,Midrange Shot Making,3PT Pull Up Talent,Midrange Pull Up Talent,Pull-Up Shooting Talent,Off-Ball Shot Making,Floater Talent,Putback Scoring Impact Per 75 Possessions,Passing Creation Quality,High Value Assists Per 75 Possessions,3PT Shot Making_percentile,Midrange Shot Making_percentile,3PT Pull Up Talent_percentile,Midrange Pull Up Talent_percentile,Pull-Up Shooting Talent_percentile,Off-Ball Shot Making_percentile,Floater Talent_percentile,Putback Scoring Impact Per 75 Possessions_percentile,Passing Creation Quality_percentile,High Value Assists Per 75 Possessions_percentile,Lob Passing Creation Rate,Perimeter Isolation Defense,Pickpocket Rating,Stable Recovered Blocks%,Passing Lane Defense,Off-Ball Chaser Defense,Ball Screen Navigation,Post Defense,Lob Passing Creation Rate_percentile,Perimeter Isolation Defense_percentile,Pickpocket Rating_percentile,Stable Recovered Blocks%_percentile,Passing Lane Defense_percentile,Off-Ball Chaser Defense_percentile,Ball Screen Navigation_percentile,Post Defense_percentile
3790,2018-19,Mike Conley,31,MEM,2342,Star,Primary Ball Handler,Point of Attack,0.41,1.25,0.85,1.52,1.45,0.1,3.77,0.06,-0.3,5.96,86.2,95.35,93.48,96.04,95.73,72.38,99.53,86.04,35.82,92.91,0.12,1.39,0.58,55.04,3.32,0.54,0.01,-1.56,52.13,94.05,80.06,14.56,77.32,76.71,59.16,1.79
3791,2022-23,Mike Conley,35,UTA/MIN,2028,Star,Primary Ball Handler,Point of Attack,0.23,-0.01,0.1,-0.11,-0.19,0.54,0.44,0,-0.6,7.47,80.81,63.86,82.35,72.61,69.11,88.11,86.63,21.65,21.01,97.57,0.6,1.35,0.54,59.11,2.92,0,1.19,-1.28,96.41,93.7,76.92,90.76,68.39,59.09,88.53,5.34
3792,2023-24,Mike Conley,36,MIN,2193,Star,Primary Ball Handler,Chaser,1.02,-0.3,2.11,-0.45,0.5,0.3,-0.93,0,-0.54,6.72,94.74,23.69,98.1,52.95,87.83,82.18,16.57,21.65,23.27,95.7,0.73,0.25,0.67,57.32,3.75,0.39,0.54,-0.79,97.75,75.26,85.86,35.43,83.88,71.96,75.85,22.95
3793,2024-25,Mike Conley,37,MIN,1756,Key Rotation,Primary Ball Handler,Chaser,0.3,-0.75,0.3,-0.81,-0.58,0.22,-0.5,0,-0.65,5.73,83.17,3.98,86.9,16.67,38.74,78.94,49.63,21.65,19,91.87,0.39,-0.3,0.75,58.68,3.96,1.63,-0.7,-1.25,91.18,55.38,89.49,82.33,86.85,96.71,31.96,5.97
3794,2025-26,Mike Conley,38,MIN,991,Rotation,Primary Ball Handler,Point of Attack,-0.47,-0.46,-0.46,-0.71,-0.87,-0.23,-0.15,0,-1.81,5.1,11.52,12.99,54.25,26.05,10.58,25.59,70.8,21.65,1.6,88.43,0.22,-0.65,0.72,58.67,0.54,-0.18,1.26,-0.55,78.47,36.31,88.33,82.13,20.9,53.02,89.62,37.3
3795,2019-20,Mike Conley,32,UTA,1363,Starter,Primary Ball Handler,Point of Attack,0.09,-0.7,0.38,-0.4,-0.31,0.32,-0.12,0,1.61,5.45,73.61,4.86,88.24,56.72,62.15,82.88,71.97,21.65,97.93,90.44,0.78,-0.02,0.32,58.47,2.33,-0.03,-0.28,-0.09,98.12,67.26,49.63,75.33,53.55,58.09,48.67,65.5
3796,2020-21,Mike Conley,33,UTA,1498,Star,Primary Ball Handler,Point of Attack,0.73,-0.03,2.16,0.18,1.13,0.19,1.49,0,1.55,7.55,91.64,60.19,98.19,81.33,94.08,77.26,95.65,21.65,97.72,97.73,1.03,1.2,0.74,59.28,3.8,1.35,4.18,-0.47,99.1,92.51,89.13,92.41,84.79,93.63,100,42.66
3797,2021-22,Mike Conley,34,UTA,2058,Star,Primary Ball Handler,Point of Attack,1.02,-0.38,2.91,-0.15,1.02,0.28,0.42,0,1.47,7.03,94.74,17.74,99.04,70.85,93.31,81.25,86.32,21.65,97.29,96.57,1.1,0.94,0.86,54.95,3.56,1.87,2.36,-0.89,99.29,89.21,92.89,14.48,81.1,98.35,98.43,17.88
3798,2019-20,Jeff Green,33,UTA/HOU,960,Rotation,Stationary Shooter,Helper,-0.09,0.3,-0.41,-0.1,-0.24,0.11,-0.29,0,-0.14,1.85,40.66,83.43,58.7,73.04,66.2,73.05,64.69,21.65,50.41,44.14,0.06,-0.43,0.18,57.99,2.14,-0.78,-0.66,0.13,26.2,48.65,30.22,55.36,48.91,32.61,34.01,73.65
3799,2023-24,Jeff Green,37,HOU,1307,Rotation,Stretch Big,Helper,-0.2,0.04,-0.47,-0.36,-0.38,-0.09,-0.23,0.02,-0.29,1.64,27.78,71.05,53.28,59.41,56.92,41.27,67.72,82.18,36.49,38.02,0.05,-0.23,0.11,58.47,1.54,-0.25,-0.73,-0.12,20.75,58.93,25.28,75.33,36.82,50.71,29.89,64.11
3800,2024-25,Jeff Green,38,HOU,396,Rotation,Stationary Shooter,Helper,0,0.33,-0.59,-0.2,-0.34,0.04,-0.33,0,-0.13,1.2,61.14,84.35,38.3,68.18,59.87,67.32,62.03,21.65,51.64,26.31,0.06,-0.43,0,58.63,1.94,-0.2,-1.54,0.15,26.2,48.65,0,81.11,44.01,52.18,0.86,74.49
3801,2025-26,Jeff Green,39,HOU,175,Garbage Time,Versatile Big,Helper,-0.07,-0.08,-0.56,-0.39,-0.42,-0.08,-0.59,0,-0.09,0.87,43.94,51.62,42.37,57.46,53.91,42.62,40.96,21.65,56.92,20.74,0.21,-0.95,0,58.69,0.41,-1.02,-0.57,-0.71,77.32,20.87,0,82.42,18.99,24.79,38.27,27.21
3802,2015-16,Jeff Green,29,MEM/LAC,2253,Starter,Shot Creator,Wing Stopper,-0.22,0.65,-0.41,0.8,0.47,-0.36,0.66,0.03,-0.19,1.81,25.84,90.06,58.7,91.05,87.37,16.72,89.37,83.31,44.63,43.11,0.09,0.35,0.14,56.06,0.86,-0.14,0.04,-0.17,40.28,77.98,26.98,17.22,27.23,54.68,60.28,61.6
3803,2016-17,Jeff Green,30,ORL,1534,Key Rotation,Shot Creator,Wing Stopper,-0.68,0.23,-0.38,0.34,0.15,-0.63,0.36,0.01,-0.67,1.78,5.3,81.45,61.29,84.7,80.92,5.97,85.41,81.11,18.08,42.18,0.04,-0.41,0.2,56.02,2.45,0.75,0.12,-0.49,15.06,49.89,32.45,17.09,57.19,82.58,62.85,41.25
3804,2020-21,Jeff Green,34,BRK,1835,Key Rotation,Stationary Shooter,Wing Stopper,0.54,0,-0.59,-0.44,-0.57,0.94,-0.2,-0.06,-0.72,1.96,88.83,65.88,38.3,53.76,39.91,94.58,68.97,15.82,16.49,47.48,0.07,-0.1,0.2,58.23,2.02,-0.01,-0.66,-0.21,31.08,64.44,32.45,63.83,46.04,58.67,34.01,59.33
3805,2018-19,Jeff Green,32,WAS,2097,Key Rotation,Movement Shooter,Helper,0.11,0.61,-0.8,0.23,-0.2,0.44,-0.53,0.13,0.41,2.2,75.03,89.42,22.31,82.45,68.58,86.02,46.97,90.92,84.35,53.64,0.01,-0.63,0.1,57.91,1.82,0.03,0.08,-0.19,1.83,37.5,24.8,52.99,41.65,60.16,61.37,60.51
3806,2017-18,Jeff Green,31,CLE,1828,Key Rotation,Shot Creator,Wing Stopper,-0.31,-0.09,-0.37,0.18,0.03,-0.35,-0.71,0.08,0.42,1.76,19.37,50.1,62,81.33,77.62,17.1,29.47,88.01,84.77,41.61,0.07,0.08,0.24,57.69,2.15,0.11,0.55,0.45,31.08,70.4,37.9,46.9,49.08,62.74,76.04,82.81
3807,2021-22,Jeff Green,35,DEN,1849,Key Rotation,Versatile Big,Helper,-0.34,0.01,-0.58,-0.28,-0.32,-0.2,-0.49,-0.16,0.1,1.42,17.66,67.42,39.61,64.05,61.43,28.47,50.3,7.97,73.65,31.81,0.04,-0.98,0.16,57.98,1.26,-0.61,-0.45,-0.74,15.06,19.69,28.34,55.14,33.45,38.54,42.74,25.57
3808,2022-23,Jeff Green,36,DEN,1091,Rotation,Versatile Big,Helper,-0.34,-0.21,-0.46,-0.44,-0.45,-0.21,-0.57,-0.39,-0.06,2.02,17.66,33.58,54.25,53.76,51.61,27.41,42.84,2.34,60.94,49.17,0.03,-0.51,0.24,57.56,1.15,-0.55,0.29,1.72,8.63,43.89,37.9,42.95,32.21,40.47,68.25,96.89
3809,2015-16,Corey Brewer,29,HOU,1669,Key Rotation,Stationary Shooter,Chaser,-1.08,-0.35,-0.43,-0.67,-0.67,-1.06,-0.08,-0.11,1.64,2.53,0.92,19.82,56.89,30.45,28.37,0.87,73.44,11.09,98.12,60.22,0.17,0.06,0.72,57.18,1.13,0.73,0.94,-0.37,69.53,69.87,88.33,31.48,31.84,82,84.56,49.82
3810,2016-17,Corey Brewer,30,HOU/LAL,1281,Rotation,Stationary Shooter,Chaser,-0.82,-0.18,-0.44,-0.43,-0.43,-0.66,-0.58,0,1.27,2.57,3.21,37.44,56.04,54.65,53.06,5.23,41.91,21.65,95.81,60.94,0.27,-0.32,0.6,58.89,4.99,0.68,1.09,-1.32,83.38,54.22,81.62,87.19,94.75,80.79,87.08,4.59
3811,2017-18,Corey Brewer,31,LAL/OKC,1208,Rotation,Stationary Shooter,Chaser,-0.51,-0.21,-0.64,-0.42,-0.55,-0.56,-0.89,-0.2,0.12,1.84,9.83,33.58,32.09,55.33,41.99,7.96,18.16,6.16,74.84,43.96,0.07,0.09,0.83,57.92,5.31,1.4,0.53,-0.12,31.08,70.71,92.31,53.29,96.17,94.47,75.61,64.11
3812,2018-19,Corey Brewer,32,PHI/SAC,492,Rotation,Movement Shooter,Chaser,-0.14,-0.5,-0.57,-0.88,-0.88,-0.21,-0.56,-0.53,0.34,2.18,34.55,11.14,40.81,12.19,10.16,27.41,43.69,1.16,82.44,53.22,0.05,-0.54,1.08,58.13,6.21,-1.12,-0.05,-0.38,20.75,41.95,96.57,60.61,98.19,21,56.8,48.96
3813,2019-20,Corey Brewer,33,SAC,33,Too Few Games,Low Minute,Chaser,-0.02,0.05,-0.95,-0.61,-0.63,-0.01,-1.22,0,-0.32,0,54.13,71.73,14.88,37.39,32.72,56.95,5.53,21.65,34.66,0,0.16,-0.25,3.04,58.44,8.11,-1.1,0.09,,66.74,57.81,99.74,73.75,99.36,21.79,61.68,
3814,2017-18,Brandan Wright,30,MEM/HOU,381,Rotation,Roll + Cut Big,Anchor Big,,-0.23,-0.97,-0.85,-0.82,-0.04,-0.46,0,-0.16,0.91,,31.02,10.85,13.83,13.86,49.42,52.79,21.65,47.93,21.33,0.06,-0.78,0.1,57.94,3.62,-1.56,-0.86,-0.94,26.2,28.8,24.8,53.93,82.05,8.2,20.75,15.67
3815,2015-16,Brandan Wright,28,MEM,212,Garbage Time,Roll + Cut Big,Anchor Big,,0.13,-0.93,-0.63,-0.62,0.19,-0.36,0,-0.66,0.91,,77.81,16.71,34.75,33.82,77.26,60.17,21.65,18.48,21.33,0.07,-1.51,0,57.3,0.9,-1.6,-1.06,-0.38,31.08,4.2,0,34.88,28.04,7.49,8.38,48.96
3816,2016-17,Brandan Wright,29,MEM,447,Rotation,Roll + Cut Big,Helper,-0.01,-0.08,-0.55,-0.85,-0.83,0.23,0.49,0.15,-0.4,1.41,57.78,51.62,43.64,13.83,13.03,79.38,87.31,92,29.85,31.6,0.05,-1.03,0.09,56.06,3.02,-1.05,-0.95,-0.36,20.75,17.49,24.5,17.22,70.72,23.53,14.82,50.48
3817,2019-20,Joakim Noah,34,LAC,50,Too Few Games,Low Minute,Helper,,0.06,-0.95,-0.54,-0.57,0.02,-1.22,0,-0.06,4.65,,72.68,14.88,45.02,39.91,64.46,5.53,21.65,60.94,85.45,0.15,-0.75,0.65,58.62,0,,,-0.1,63.57,30.45,84.61,80.8,0,,,65.04
3818,2018-19,Joakim Noah,33,MEM,693,Rotation,Roll + Cut Big,Anchor Big,,-0.68,-0.96,-0.76,-0.69,-0.27,-0.79,-0.39,-0.33,3.39,,5.33,13.05,20.8,26.07,22.18,23.09,2.34,33.99,73.28,0.04,-0.25,0.59,57.76,2.62,-1.72,-1.05,0.44,15.06,57.81,80.87,48.81,61.21,5.08,9.04,82.7
3819,2016-17,Joakim Noah,31,NYK,1015,Key Rotation,Roll + Cut Big,Anchor Big,0,-0.3,-0.9,-0.82,-0.79,-0.1,-0.71,-0.95,-0.79,3.02,61.14,23.69,19.08,15.89,16.15,39.74,29.47,0.25,14.53,68.33,0.34,-0.45,0.63,55.1,2.45,-1.26,-1.12,0.96,88.27,47.7,83.73,14.59,57.19,16.5,6,91.22
3820,2017-18,Joakim Noah,32,NYK,40,Too Few Games,Low Minute,Helper,,0.01,-0.97,-0.52,-0.53,-0.01,-1.32,0,-0.19,2.68,,67.42,10.85,46.87,44.16,56.95,1.1,21.65,44.63,62.88,0.15,0.15,1.74,58.77,3.49,-1.48,-0.88,-0.21,63.57,72.42,99.16,84.6,80.04,10.35,19.35,59.33
3821,2015-16,Joakim Noah,30,CHI,635,Rotation,Roll + Cut Big,Anchor Big,,-0.83,-0.93,-1.09,-0.95,-0.55,-1.04,-1.22,-1.22,4.88,,2.97,16.71,5.01,7.35,8.25,13.9,0.12,6.3,87.1,0.36,-1.23,0.65,57.68,0.41,-1.35,-0.91,1.34,89.47,10.57,84.61,46.54,18.99,13.82,17.21,94.36
3822,2016-17,Spencer Hawes,28,CHO/MIL,797,Rotation,Roll + Cut Big,Anchor Big,-0.26,-0.38,-0.6,-0.84,-0.85,-0.08,-0.56,0.07,-0.49,3.39,22.71,17.74,37,14.56,11.68,42.62,43.69,87.07,25.28,73.28,0.03,-1.08,0.33,58.15,1.55,-1.51,-1.04,0.51,8.63,15.53,51.54,61.14,36.98,9.51,9.43,84.06
3823,2015-16,Spencer Hawes,27,CHO,1035,Rotation,Versatile Big,Anchor Big,0.13,-0.81,-0.38,-0.97,-0.77,-0.55,-0.51,-0.04,0.36,3.4,76.19,3.27,61.29,8.12,17.92,8.25,48.97,17.76,83.04,73.35,0.02,-1.8,0.44,57.35,0.37,-1.56,-1.22,0.72,3.35,1.22,66.22,36.18,18.6,8.2,3.67,87.92
3824,2016-17,Thaddeus Young,28,IND,2237,Starter,Roll + Cut Big,Mobile Big,0.13,0.02,-0.52,-0.49,-0.52,0.53,-0.64,0,-0.18,1.86,76.19,68.68,47.49,49.64,45.24,87.92,35.85,21.65,45.72,44.41,0.03,-0.26,0.76,58.77,4.68,-0.62,-0.62,0.69,8.63,57.37,89.7,84.6,93.16,38.11,35.98,87.46
3825,2017-18,Thaddeus Young,29,IND,2607,Starter,Post Scorer,Mobile Big,-0.61,0.36,-0.45,0.23,0.06,-0.34,0.06,0,0.78,1.86,6.95,85.06,55.15,82.45,78.61,17.72,78.35,21.65,91.3,44.41,0.05,1.08,0.74,59.15,5.45,0.02,-0.24,1.12,20.75,91.1,89.13,91.09,96.59,59.9,50.28,92.9
3826,2018-19,Thaddeus Young,30,IND,2489,Star,Post Scorer,Helper,-0.1,-0.29,-0.59,-0.27,-0.38,-0.22,0.03,0,1.11,2.61,39.43,24.85,38.3,64.68,56.92,26.5,77.52,21.65,94.67,61.65,0.04,0.49,0.8,55.53,5,0.35,-0.28,1.26,15.06,81.29,91.4,15.31,94.79,70.49,48.67,93.94
3827,2023-24,Thaddeus Young,35,TOR/PHO,440,Rotation,Roll + Cut Big,Mobile Big,-0.1,0.01,-1.02,-0.77,-0.75,0,-0.7,0,0.03,4.16,39.43,67.42,3.54,19.89,19.74,59.83,30.18,21.65,69.32,81.42,0.12,-0.27,1.19,58.55,4.23,-1.28,-0.88,2.07,52.13,56.84,97.53,78.76,89.79,15.92,19.35,98.26
3828,2021-22,Thaddeus Young,33,SAS/TOR,845,Rotation,Roll + Cut Big,Helper,0.02,0.1,-0.58,0.02,-0.11,-0.07,-0.51,0,0.87,4.05,65.69,75.88,39.61,77.12,72.8,44.29,48.97,21.65,92.44,80.29,0.14,-0.42,1.14,57.25,5.01,-0.85,-0.58,-0.21,59.9,49.35,97.18,33.09,94.94,30.44,37.75,59.33
3829,2022-23,Thaddeus Young,34,TOR,795,Garbage Time,Post Scorer,Helper,-0.32,-0.11,-1.01,-0.48,-0.51,-0.34,-0.51,0.29,0.65,3.3,18.82,46.39,7.74,50.69,46.24,17.72,48.97,96.15,89.48,72.31,0.11,-1.08,1.22,57.09,6.29,-0.95,-0.79,0.13,48.31,15.53,97.85,29.17,98.42,27.17,25.82,73.65
3830,2015-16,Thaddeus Young,27,BRK,2408,Starter,Shot Creator,Helper,-0.06,1.62,-0.33,1.32,1.03,0.69,1.7,-0.26,-0.22,1.69,45.72,96.96,64.78,94.97,93.4,91.3,96.38,4.48,42.17,39.46,0.08,0.11,0.77,54.8,1,-0.98,-0.51,-0.05,35.93,71.37,90.18,14.4,29.98,26.01,40.69,67.2
3831,2019-20,Thaddeus Young,31,CHI,1591,Key Rotation,Stationary Shooter,Helper,-0.17,-0.21,-0.35,-0.35,-0.43,-0.02,-0.62,0,1.45,2.62,31.27,33.58,63.39,59.92,53.06,54.05,38,21.65,97.12,61.79,0.1,0.28,1.11,59.46,4.93,-0.41,0.22,2.12,44.41,76.11,96.92,94,94.56,45.05,66.04,98.33
3832,2020-21,Thaddeus Young,32,CHI,1652,Key Rotation,Post Scorer,Anchor Big,-0.26,0.94,-0.64,0.67,0.33,0.44,1.06,0,0.66,5.66,22.71,93.03,32.09,89.51,85.09,86.02,92.94,21.65,89.6,91.57,0.04,-1.12,0.67,58.02,4.28,-1.37,-1.19,1.58,15.06,14.09,85.86,56.25,90.12,13.35,4.14,96.12
3833,2015-16,Rodney Stuckey,29,IND,1275,Key Rotation,Secondary Ball Handler,Chaser,-0.61,0.03,-0.35,0.18,0.04,-0.5,-0.32,0,-0.13,3.77,6.95,70.1,63.39,81.33,77.88,9.85,62.63,21.65,51.64,77.5,0.1,-0.43,0.27,55.61,1.01,0.63,0.94,-0.65,44.41,48.65,42.24,15.46,30.12,79.29,84.56,30.64
3834,2016-17,Rodney Stuckey,30,IND,696,Rotation,Shot Creator,Chaser,-0.17,-0.24,0.09,0.08,0.22,-0.28,-0.06,0,-1.49,3.07,31.27,29.76,82.08,78.67,82.63,21.42,74.36,21.65,3.69,68.97,0.03,0.27,0.16,57.47,2.03,0.89,-0.36,-0.82,8.63,75.8,28.34,39.86,46.29,86.12,45.71,21.32
3835,2017-18,Nick Young,32,GSW,1393,Key Rotation,Off Screen Shooter,Low Activity,0.48,0.14,0.52,-0.38,-0.07,0.6,-0.44,0,-1.26,0.65,87.6,78.26,90.42,58.12,74.34,89.64,54.65,21.65,5.87,18.89,0.02,-0.88,0.6,59.22,2.06,1,0.37,-0.37,3.35,24.18,81.62,91.93,46.98,88.27,70.94,49.82
3836,2015-16,Nick Young,30,LAL,1033,Rotation,Off Screen Shooter,Chaser,-0.06,-0.2,0.66,-0.4,-0.09,-0.39,-1.34,0,-0.63,1.11,45.72,34.96,91.94,56.72,73.54,14.89,0.27,21.65,19.86,24.4,0.05,-0.74,0.44,56.27,0.41,0.56,0.04,-0.94,20.75,31.06,66.22,18.44,18.99,77.38,60.28,15.67
3837,2016-17,Nick Young,31,LAL,1556,Key Rotation,Off Screen Shooter,Wing Stopper,1.77,0.14,0.7,-0.08,0.14,1.68,0.04,0.14,-0.68,1.2,98.57,78.26,92.28,73.56,80.69,98.51,77.83,91.54,17.82,26.31,0.02,1,0.28,57.04,2.85,0.3,-0.87,-0.72,3.35,89.96,43.79,27.97,66.93,69.08,20.11,26.74
3838,2018-19,Nick Young,33,DEN,37,Too Few Games,Low Minute,Chaser,0.02,-0.05,-0.5,-0.72,-0.65,0.02,-1.22,0,-0.09,0.99,65.69,56.77,50,24.98,30.55,64.46,5.53,21.65,56.92,22.53,0.16,-1.56,0,57.03,0,0.01,-0.71,,66.74,3.59,0,27.69,0,59.52,31.32,
3839,2017-18,Marco Belinelli,31,ATL/PHI,1947,Key Rotation,Off Screen Shooter,Low Activity,0.87,1.02,1,0.4,0.84,1.43,-0.33,-0.06,-0.62,2.11,93.51,93.72,94.5,85.92,91.89,97.63,62.03,15.82,20.32,51.5,0.07,-1.71,0.32,57.98,2.98,-0.07,-0.05,-1.54,31.08,2.09,49.63,55.14,69.7,56.68,56.8,1.96
3840,2015-16,Marco Belinelli,29,SAC,1672,Key Rotation,Off Screen Shooter,Chaser,-0.6,0.37,-0.08,-0.94,-0.81,-0.05,-1,0,0.56,2.42,7.2,85.35,76.83,9.31,14.66,47.39,14.64,21.65,87.85,58.26,0.09,-0.77,0.31,56.62,0.5,-0.11,-0.36,-0.22,40.28,29.38,48.32,21.5,20.2,55.69,45.71,58.84
3841,2018-19,Marco Belinelli,32,SAS,1815,Key Rotation,Movement Shooter,Low Activity,0.75,0.47,0.44,-0.3,0,0.86,-0.27,0,-0.74,2.04,92.13,87.15,89.34,62.86,76.74,93.7,65.91,21.65,15.89,49.66,0.05,-1.73,0.16,56.19,1.84,0.54,-1.02,-0.67,20.75,1.89,28.34,17.93,42.08,76.71,10.45,29.78
3842,2019-20,Marco Belinelli,33,SAS,883,Rotation,Movement Shooter,Low Activity,0.2,-0.07,0.22,-0.59,-0.26,0.25,-0.77,0,-0.64,1.73,79.47,53.19,85.22,39.64,65.23,80.15,24.36,21.65,19.41,40.68,0.03,-1.9,0.28,58.62,1.16,0.1,-0.51,-0.7,8.63,0.68,43.79,80.8,32.31,62.52,40.69,27.96
3843,2016-17,Marco Belinelli,30,CHO,1777,Key Rotation,Off Screen Shooter,Low Activity,0.44,0.27,-0.12,-0.28,-0.32,0.44,-0.66,0,-0.78,2.57,86.78,82.71,75.2,64.05,61.43,86.02,34.09,21.65,14.86,60.94,0.01,-1.33,0.19,57.4,2.68,0.99,0.21,-0.8,1.83,8.14,31.19,38.21,62.78,88.04,65.7,22.25
3844,2018-19,Jason Smith,32,WAS/MIL/NOP,191,Garbage Time,Stretch Big,Anchor Big,-0.04,-0.18,-0.96,-1.71,-1.63,-0.13,-1.22,0,-0.35,1.63,49.8,37.44,13.05,0.59,0.46,35.87,5.53,21.65,32.78,37.69,0.09,-0.61,0,57.71,1.82,-1.32,-0.49,-0.18,40.28,38.32,0,47.32,41.65,14.69,41.36,61.24
3845,2015-16,Jason Smith,29,ORL,1181,Rotation,Athletic Finisher,Helper,0.03,1.03,-0.54,-0.53,-0.54,0.73,-0.74,-0.06,-1.12,1.56,67.08,93.83,44.94,45.97,42.98,91.87,26.93,15.82,7.44,35.66,0.05,-1.42,0.19,59.13,0.86,-1.31,-0.76,0.08,20.75,5.95,31.19,90.99,27.23,14.88,27.92,71.93
3846,2016-17,Jason Smith,30,WAS,1068,Rotation,Athletic Finisher,Mobile Big,0.39,0.44,-0.9,-0.95,-0.91,0.75,-0.65,-0.07,-0.7,0.99,85.69,86.65,19.08,8.84,8.82,92.25,35.02,14.77,17.25,22.53,0.02,-1.48,0.28,55.68,1.94,-0.65,-0.61,0.1,3.35,4.62,43.79,15.73,44.01,37.02,36.41,72.75
3847,2017-18,Jason Smith,31,WAS,285,Garbage Time,Athletic Finisher,Mobile Big,-0.38,-0.09,-0.97,-0.84,-0.81,-0.33,-0.64,0,-0.29,1.52,15.54,50.1,10.85,14.56,14.66,18.28,35.85,21.65,36.49,34.48,0.07,-1.6,0,58.57,1.15,-1.41,-0.98,-0.65,31.08,3.13,0,79.29,32.21,12.42,12.97,30.64
3848,2019-20,Jared Dudley,34,LAL,364,Garbage Time,Stationary Shooter,Helper,0.06,-0.04,-0.55,-0.7,-0.68,0.08,-0.67,0,-0.35,2.34,70.67,58.48,43.64,27.05,27.25,70.89,33.28,21.65,32.78,56.8,0.06,-1.05,0.3,58.11,3.79,-0.13,-0.67,-0.47,26.2,16.65,46.78,59.28,84.56,55,33.43,42.66
3849,2020-21,Jared Dudley,35,LAL,81,Garbage Time,Low Minute,Helper,-0.01,-0.08,-0.51,-0.66,-0.6,-0.01,-1.13,0,-0.19,2.69,57.78,51.62,48.85,31.3,36.48,56.95,12.19,21.65,44.63,63.2,0.13,-0.38,0.46,58.29,4.17,-0.7,-0.62,-0.53,56.04,51.5,68.55,65.97,89.11,35.16,35.98,38.73
3850,2016-17,Jared Dudley,31,PHO,1362,Key Rotation,Off Screen Shooter,Helper,0.09,-0.08,-0.37,-0.67,-0.59,-0.06,-0.31,0.15,-0.51,2.56,73.61,51.62,62,30.45,37.61,45.88,63.35,92,24.48,60.69,0.04,-0.73,0.48,56.98,3.18,-0.56,-0.78,-0.38,15.06,31.59,70.93,26.71,74.52,40.07,26.58,48.96
3851,2017-18,Jared Dudley,32,PHO,686,Rotation,Stationary Shooter,Helper,-0.02,-0.19,-0.76,-0.87,-0.95,-0.04,-0.91,0,0.37,3.68,54.13,36.17,23.32,12.59,7.35,49.42,17.42,21.65,83.35,76.57,0.04,-0.73,0.21,58.23,3.26,-0.8,-0.8,0,15.06,31.59,33.83,63.83,76.17,32.01,25.08,69.31
3852,2018-19,Jared Dudley,33,BRK,1220,Key Rotation,Stationary Shooter,Helper,-0.18,0.08,-0.44,-0.69,-0.6,-0.23,-0.36,-0.1,0.25,2.32,30.23,74.13,56.04,28.35,36.48,25.59,60.17,11.89,79.87,56.31,0.02,-0.41,0.33,57.22,2.3,0.15,-1,0.06,3.35,49.89,51.54,32.44,52.84,64.1,11.66,71.19
3853,2015-16,Jared Dudley,30,WAS,2098,Key Rotation,Stationary Shooter,Helper,0.61,0.05,-0.55,-1,-0.96,0.6,-1.14,-0.02,0.08,2.72,89.99,71.73,43.64,7.19,7.02,89.64,12.1,19.52,72.79,63.59,0.01,-0.43,0.44,57.42,0.88,0.22,-0.47,-0.58,1.83,48.65,66.22,38.73,27.62,66.51,42.03,35.43
3854,2018-19,Wilson Chandler,31,PHI/LAC,1176,Key Rotation,Shot Creator,Wing Stopper,0.24,-0.26,-0.51,-0.48,-0.5,0.15,-0.08,-0.38,0.21,2.13,81.21,27.68,48.85,50.69,47.38,75.04,73.44,2.46,78.59,51.93,0.05,0.11,0.21,58.08,1.82,-0.18,0.4,-0.66,20.75,71.37,33.83,58.05,41.65,53.02,71.89,30.14
3855,2019-20,Wilson Chandler,32,BRK,734,Key Rotation,Movement Shooter,Helper,-0.4,0.41,-0.66,0.04,-0.24,-0.32,0.4,0,-0.11,1.96,14.42,86.13,29.99,77.62,66.2,18.95,85.97,21.65,54.04,47.48,0.04,-0.24,0.54,58.85,1.07,-1.12,-0.64,0.03,15.06,58.42,76.92,86.32,31.08,21,35.03,70.2
3856,2016-17,Wilson Chandler,29,DEN,2197,Starter,Shot Creator,Wing Stopper,0.32,0.58,0.13,0.45,0.45,0.49,1.1,-0.07,-0.15,2.02,83.79,88.95,83.11,86.61,87.07,87.08,93.28,14.77,49.24,49.17,0.07,-0.45,0.34,58.54,2.25,0.24,-0.81,0.37,31.08,47.7,52.94,78.41,51.63,67.27,24.47,80.93
3857,2017-18,Wilson Chandler,30,DEN,2346,Starter,Shot Creator,Wing Stopper,0.3,-0.36,-0.64,-0.45,-0.63,-0.03,-0.48,-0.23,-0.23,2.17,83.17,19.18,32.09,52.95,32.72,51.34,51.29,5.22,41.25,52.97,0.12,0.21,0.26,58.11,1.6,-0.11,0.83,0.73,52.13,74.24,40.87,59.28,37.48,55.69,82.41,88.12
3858,2016-17,Aaron Brooks,32,IND,894,Rotation,Primary Ball Handler,Point of Attack,0.31,0.08,0.9,0.21,0.53,-0.05,0.51,0,-1.38,3.22,83.48,74.13,93.79,82.08,88.24,47.39,87.49,21.65,4.38,71.42,0.03,-0.75,0.43,57.4,2.78,0.53,0.67,-0.99,8.63,30.45,65.13,38.21,65.1,76.47,78.65,13.32
