RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Playmaking Talent,Touches Per 75,Playmaking Talent_percentile,Touches Per 75_percentile
997,2018-19,Lauri Markkanen,21,CHI,1682,Starter,Movement Shooter,Helper,-0.79,74.08,30.99,84.02
998,2019-20,Lauri Markkanen,22,CHI,1492,Starter,Movement Shooter,Helper,-0.29,54.69,64.3,54.04
999,2020-21,Lauri Markkanen,23,CHI,1317,Key Rotation,Movement Shooter,Helper,-1.08,50.08,8.3,44.56
1000,2021-22,Lauri Markkanen,24,CLE,1878,Starter,Stationary Shooter,Wing Stopper,-0.68,52.18,40.56,48.6
1001,2017-18,Donovan Mitchell,21,UTA,2638,Starter,Primary Ball Handler,Chaser,1.46,68.84,94.84,77.99
1002,2018-19,Donovan Mitchell,22,UTA,2598,Star,Primary Ball Handler,Chaser,1.47,65.21,94.93,73.12
1003,2019-20,Donovan Mitchell,23,UTA,2364,Star,Primary Ball Handler,Chaser,1.23,72.88,93.22,82.95
1004,2020-21,Donovan Mitchell,24,UTA,1771,Star,Primary Ball Handler,Chaser,1.63,82.31,96.07,91.95
1005,2021-22,Donovan Mitchell,25,UTA,2266,Star,Primary Ball Handler,Chaser,1.92,77.21,97.48,87.58
1006,2022-23,Donovan Mitchell,26,CLE,2432,Star,Primary Ball Handler,Chaser,1.43,71.34,94.65,81.06
1007,2023-24,Donovan Mitchell,27,CLE,1943,Star,Primary Ball Handler,Chaser,1.92,81.59,97.48,91.24
1008,2024-25,Donovan Mitchell,28,CLE,2232,Star,Shot Creator,Chaser,1.98,69.26,97.74,78.52
1009,2025-26,Donovan Mitchell,29,CLE,2342,Star,Shot Creator,Helper,1.7,61.56,96.36,67.23
1010,2025-26,Luke Kennard,29,ATL/LAL,1641,Rotation,Off Screen Shooter,Chaser,-0.18,34.72,68.58,18.97
1011,2020-21,Luke Kennard,24,LAC,1232,Rotation,Movement Shooter,Low Activity,-0.6,49.65,46.64,43.44
1012,2021-22,Luke Kennard,25,LAC,1919,Starter,Off Screen Shooter,Low Activity,-0.06,47.82,73.08,39.33
1013,2022-23,Luke Kennard,26,LAC/MEM,1315,Rotation,Off Screen Shooter,Low Activity,-0.71,44.74,37.89,32.97
1014,2023-24,Luke Kennard,27,MEM,999,Key Rotation,Off Screen Shooter,Low Activity,-0.32,61.22,63.22,66.7
1015,2024-25,Luke Kennard,28,MEM,1472,Key Rotation,Movement Shooter,Low Activity,-0.28,56.78,64.75,58.19
1016,2017-18,Luke Kennard,21,DET,1463,Rotation,Off Screen Shooter,Low Activity,-0.28,43.44,64.75,30.14
1017,2018-19,Luke Kennard,22,DET,1437,Key Rotation,Secondary Ball Handler,Low Activity,-0.37,52.44,60.54,49.28
1018,2019-20,Luke Kennard,23,DET,922,Starter,Secondary Ball Handler,Low Activity,1.22,55.49,93.08,55.53
1019,2017-18,Zach Collins,20,POR,1046,Rotation,Versatile Big,Helper,-0.89,46.15,21.95,35.63
1020,2018-19,Zach Collins,21,POR,1356,Rotation,Versatile Big,Anchor Big,-0.63,59.7,44.38,63.63
1021,2019-20,Zach Collins,22,POR,290,Garbage Time,Post Scorer,Anchor Big,-0.63,43.34,44.38,29.91
1022,2021-22,Zach Collins,24,SAS,502,Rotation,Post Scorer,Anchor Big,0.01,62.84,75.1,69.62
1023,2022-23,Zach Collins,25,SAS,1441,Key Rotation,Post Scorer,Anchor Big,-0.29,57.56,64.3,59.83
1024,2023-24,Zach Collins,26,SAS,1526,Key Rotation,Post Scorer,Anchor Big,-0.48,63.68,54.07,71.08
1025,2024-25,Zach Collins,27,SAS/CHI,976,Rotation,Stretch Big,Mobile Big,-0.41,63.16,58.44,70.25
1026,2025-26,Zach Collins,28,CHI,184,Rotation,Stretch Big,Mobile Big,-0.56,57.84,49.26,60.33
1027,2017-18,John Collins,20,ATL,1785,Key Rotation,Roll + Cut Big,Anchor Big,-1.02,71.33,11.9,81.04
1028,2018-19,John Collins,21,ATL,1829,Starter,Roll + Cut Big,Helper,-0.61,77.11,45.89,87.45
1029,2019-20,John Collins,22,ATL,1363,Star,Roll + Cut Big,Helper,-0.86,71.46,24.64,81.26
1030,2020-21,John Collins,23,ATL,1848,Key Rotation,Post Scorer,Helper,-0.72,65.05,37.08,72.87
1031,2021-22,John Collins,24,ATL,1663,Star,Post Scorer,Helper,-0.2,64.44,67.98,71.92
