RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Finishing Talent,Rim Shot Creation,Drives Per 75 Possessions,Rim Shot Making,Rim Shot Making Efficiency,Paint Shooting Talent,Rim Makes Consistency,Stable Rim FG%,Contact Finish Rate,Rim Attempt Consistency,Finishing Talent_percentile,Rim Shot Creation_percentile,Drives Per 75 Possessions_percentile,Rim Shot Making_percentile,Rim Shot Making Efficiency_percentile,Paint Shooting Talent_percentile,Rim Makes Consistency_percentile,Stable Rim FG%_percentile,Contact Finish Rate_percentile,Rim Attempt Consistency_percentile,Rim FG%,Drive Foul Drawn Rate,Rim FG%_percentile,Drive Foul Drawn Rate_percentile
331,2021-22,Norman Powell,28,POR/LAC,1458,Starter,Movement Shooter,Wing Stopper,0.13,1.21,9.11,-0.12,-0.27,0.15,103.71,56.7,18.27,103.84,77.47,94.64,81.13,42.34,54.67,80.92,88.13,18.38,46.12,95.82,53.23,10.53,30.54,81.37
332,2022-23,Norman Powell,29,LAC,1567,Key Rotation,Secondary Ball Handler,Chaser,0.74,1.21,11.79,0.49,0.47,0.46,103.33,64.45,16.52,103.09,89.98,94.64,89.13,86.1,82.34,87.2,85.28,59.64,40.77,90.09,63.68,9.77,60.74,78.13
333,2023-24,Norman Powell,30,LAC,1990,Starter,Movement Shooter,Chaser,0.16,0.15,6.83,0.5,1.09,0.27,100.66,68.23,21.74,101.34,78.25,71.23,71.45,86.36,93.83,83.82,63.04,87.33,56.88,72.25,69.13,5.65,79.38,50.33
334,2024-25,Norman Powell,31,LAC,1958,Starter,Secondary Ball Handler,Chaser,0.77,1.19,10.76,0.59,0.41,1.21,103.81,65.78,12.5,103.08,90.27,94.39,86.26,88.26,80.53,94.57,88.88,69.99,34.11,89.93,65.56,7.3,67.36,62.91
335,2025-26,Norman Powell,32,MIA,1694,Starter,Shot Creator,Chaser,1.67,1.42,9.92,1.42,1.37,0.94,103.53,64.21,27.36,103.18,96.65,96.88,83.98,96.48,96.43,92.76,86.81,57.57,76.11,90.65,63.18,6.39,58.86,56.07
336,2020-21,Norman Powell,27,TOR/POR,2205,Key Rotation,Movement Shooter,Chaser,1.19,0.79,8.63,1.04,1.03,-0.04,102.98,63.25,21.36,103.06,94.26,88.05,79.51,93.96,93.02,75.3,82.05,49.54,55.73,89.79,63.02,9.71,58.32,77.79
337,2015-16,Norman Powell,22,TOR,725,Rotation,Stationary Shooter,Chaser,-0.49,0.54,7.02,-0.44,-1.16,-0.54,93.95,58.26,16.67,94.96,45.99,82.45,72.55,15.53,13.76,42.98,22.63,22.5,40.78,23.22,56.16,9.16,36.63,75.2
338,2016-17,Norman Powell,23,TOR,1368,Rotation,Secondary Ball Handler,Chaser,0.81,1.66,9.96,0.4,0.55,-0.25,99.01,59.5,15.58,97.92,90.78,98.14,84.11,83.77,84.24,65.74,49.54,26.78,39.35,39.93,58.97,10.25,44.79,80.46
339,2017-18,Norman Powell,24,TOR,1061,Rotation,Secondary Ball Handler,Chaser,0,0.78,10.01,-0.02,-0.04,-0.25,97.31,58.85,42.86,97.26,72.65,87.9,84.3,57.58,66,65.74,38.61,24.35,95.26,35.15,56.2,3.5,36.69,34.74
340,2018-19,Norman Powell,25,TOR,1126,Rotation,Secondary Ball Handler,Chaser,0.41,0.59,9.69,0.36,0.6,-0.07,101.27,62.4,27.27,101.93,84.83,83.63,83.15,82.69,85.49,74.34,67.6,43.34,75.14,78.3,62.11,4.92,55.07,44.32
341,2019-20,Norman Powell,26,TOR,1479,Starter,Off Screen Shooter,Chaser,0.42,0.29,6.54,0.34,0.29,-0.06,102.72,64.78,23.73,103.01,85.12,75.5,70.11,82.03,77.19,74.7,80.05,62.2,63.38,89.35,65.16,5.86,65.81,51.87
342,2015-16,Branden Dawson,22,LAC,29,Too Few Games,Low Minute,Helper,-0.7,-0.48,0,-0.04,-0.86,-0.58,93.52,59.8,100,95.14,30.84,42.25,0,54.16,23.89,38.74,21.21,28.21,99.18,24.01,50,0,25,0
343,2019-20,Chasson Randle,26,GSW,40,Too Few Games,Low Minute,Point of Attack,-1.99,,2.65,,,-0.64,,63.65,0,,2.45,,42.31,,,31.57,,52.74,0,,0,33.33,0,98.7
344,2016-17,Chasson Randle,23,PHI/NYK,299,Garbage Time,Primary Ball Handler,Point of Attack,-0.36,0.34,9.86,-0.24,-1.03,0.01,96.51,58.03,30,94.35,55.04,76.94,83.83,29.03,17.96,77.03,33.99,21.75,82.1,20.81,51.43,12.66,28.49,88.01
