RecordID,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Role,Defensive Role,Points Over Expectation / 75,Stable eFG%,Overall Shot Making Efficiency,Overall Shot Making,Self-Created Shot Making Efficiency,Overall Shot Creation,Role Adjusted Stable eFG%,Points Over Expectation / 75_percentile,Stable eFG%_percentile,Overall Shot Making Efficiency_percentile,Overall Shot Making_percentile,Self-Created Shot Making Efficiency_percentile,Overall Shot Creation_percentile,Role Adjusted Stable eFG%_percentile
2356,2021-22,Precious Achiuwa,22,TOR,1725,Key Rotation,Shot Creator,Helper,-2.58,49.66,-1.99,-1.15,-2.46,-0.25,0.49,1.66,20.54,1.62,1.24,0.33,59.6,21.64
2357,2022-23,Precious Achiuwa,23,TOR,1140,Key Rotation,Athletic Finisher,Helper,-1.34,53.04,-1.6,-0.81,-0.99,-0.53,0.54,10.21,57.73,5.44,4.64,21.62,48.35,63.82
2358,2022-23,Aaron Nesmith,23,IND,1816,Key Rotation,Movement Shooter,Wing Stopper,-0.66,53.09,-0.89,-0.48,-1.19,-0.93,0.53,21.63,58.42,25.33,15.52,14.01,29.04,54.54
2359,2023-24,Aaron Nesmith,24,IND,1995,Starter,Stationary Shooter,Wing Stopper,0.27,59.32,0.84,0.62,0.82,-0.69,0.59,79.75,96.33,91.07,87.84,92.8,40.93,91.91
2360,2024-25,Aaron Nesmith,25,IND,1123,Key Rotation,Movement Shooter,Wing Stopper,0.76,59.13,0.58,0.47,0,-0.66,0.58,88.27,96.02,86.73,85.18,75.4,42.45,88.94
2361,2025-26,Aaron Nesmith,26,IND,1335,Starter,Off Screen Shooter,Wing Stopper,0,52.58,-0.44,-0.21,-1.47,-0.39,0.53,36.38,52.06,50.71,36.68,7.24,54.46,54.54
2362,2020-21,Aaron Nesmith,21,BOS,669,Rotation,Movement Shooter,Low Activity,0.72,54.51,-0.3,-0.1,-0.55,-0.98,0.54,87.79,73.09,58.74,49.29,46.81,26.17,63.82
2363,2021-22,Aaron Nesmith,22,BOS,574,Rotation,Movement Shooter,Helper,-1.14,50.61,-1.18,-0.33,-0.27,-1.12,0.52,13,30.01,14.72,25.2,63.58,19.12,45.51
2364,2024-25,Cole Anthony,24,ORL,1234,Rotation,Primary Ball Handler,Point of Attack,-1.13,50.64,-0.05,0.03,-0.07,0.82,0.51,13.22,30.15,69.96,69.07,72.97,87.72,36.69
2365,2025-26,Cole Anthony,25,MIL,527,Rotation,Primary Ball Handler,Point of Attack,0,50.75,-0.36,-0.11,-0.22,1.35,0.5,36.38,31.47,55.32,47.64,66.28,94.73,28.87
2366,2020-21,Cole Anthony,20,ORL,1273,Key Rotation,Primary Ball Handler,Point of Attack,-1.17,47.28,-0.32,-0.1,-0.16,1.41,0.48,12.62,5.76,57.76,49.29,69.19,95.36,14.92
2367,2021-22,Cole Anthony,21,ORL,2059,Starter,Primary Ball Handler,Point of Attack,-0.81,47.54,-0.44,-0.28,-0.94,0.95,0.47,18.9,6.77,50.71,29.72,24,89.79,9.63
2368,2022-23,Cole Anthony,22,ORL,1552,Starter,Primary Ball Handler,Point of Attack,0.31,52.39,0.21,0.27,0.24,0.81,0.52,80.49,49.89,78.04,80.3,82.32,87.46,45.51
2369,2023-24,Cole Anthony,23,ORL,1817,Key Rotation,Primary Ball Handler,Point of Attack,-0.39,50.7,-0.53,-0.25,-0.74,0.67,0.51,27.33,30.85,44.68,32.68,35.08,84.93,36.69
2370,2022-23,Vernon Carey Jr.,21,WAS,28,Garbage Time,Low Minute,Helper,0,53.81,-0.66,-0.03,-0.67,-0.88,0.5,36.38,66.22,37.36,59.2,39.39,31.41,28.87
2371,2021-22,Vernon Carey Jr.,20,CHO/WAS,44,Too Few Games,Low Minute,Helper,0,53.05,-0.25,-0.01,-0.03,-0.79,0.49,36.38,57.83,61.14,63.22,74.4,35.66,21.64
2372,2020-21,Vernon Carey Jr.,19,CHO,115,Garbage Time,Post Scorer,Helper,0,53.59,-0.5,-0.06,-0.27,-1.05,0.5,36.38,63.79,47.09,54.53,63.58,22.52,28.87
2373,2020-21,Theo Maledon,19,OKC,1778,Starter,Primary Ball Handler,Point of Attack,-1.52,47.43,-1.62,-1.03,-1.84,0.24,0.48,8.13,6.26,5.32,2.08,2.74,75.83,14.92
2374,2021-22,Theo Maledon,20,OKC,908,Rotation,Primary Ball Handler,Point of Attack,-2.11,47.71,-1.89,-0.87,-0.94,0.09,0.48,3.51,7.33,2.33,3.69,24,71.23,14.92
2375,2023-24,Theo Maledon,22,CHO/PHO,213,Garbage Time,Movement Shooter,Point of Attack,-4.05,48.92,-1.9,-0.6,-1.78,-0.03,0.52,0.25,14.88,2.28,9.78,3.14,67.76,45.51
2376,2022-23,Theo Maledon,21,CHO,854,Rotation,Primary Ball Handler,Point of Attack,-0.71,49.7,-0.98,-0.43,-0.72,0.46,0.49,20.68,20.91,21.5,18.48,36.25,80.79,21.64
2377,2020-21,Tyrese Maxey,20,PHI,935,Rotation,Slasher,Point of Attack,0.58,51.08,0.66,0.36,1.11,1.33,0.5,85.78,34.72,88.13,82.7,95.57,94.52,28.87
2378,2021-22,Tyrese Maxey,21,PHI,2650,Starter,Primary Ball Handler,Point of Attack,1.46,54.82,2.11,2.17,1.88,0.91,0.53,95.3,76.18,99.18,98.42,99.04,89.28,54.54
2379,2022-23,Tyrese Maxey,22,PHI,2016,Star,Primary Ball Handler,Point of Attack,1.31,56.52,1.89,2.17,1.19,1.03,0.55,94.23,88.01,98.69,98.42,96.31,90.97,72.35
2380,2023-24,Tyrese Maxey,23,PHI,2626,Star,Shot Creator,Chaser,1.17,52.74,1.11,1.91,0.74,1.69,0.52,93.09,54.11,94.18,97.45,91.85,97.31,45.51
2381,2024-25,Tyrese Maxey,24,PHI,1960,Star,Shot Creator,Chaser,0.82,51.54,0.18,0.65,0.32,1.88,0.52,89.08,39.67,77.14,88.35,84.2,98.59,45.51
2382,2025-26,Tyrese Maxey,25,PHI,2596,Star,Shot Creator,Chaser,0,53.73,1.13,1.99,0.71,1.72,0.53,36.38,65.25,94.42,97.64,91.4,97.47,54.54
2383,2021-22,Tyrell Terry,21,MEM,3,Too Few Games,Low Minute,Chaser,0,53.24,-0.12,0.01,-0.27,-0.7,0.49,36.38,60.12,67.06,66.93,63.58,40.42,21.64
2384,2020-21,Tyrell Terry,20,DAL,56,Garbage Time,Low Minute,Point of Attack,0,52.26,-0.72,-0.08,-0.52,0,0.47,36.38,48.39,34.13,51.55,48.66,68.82,9.63
2385,2022-23,Saddiq Bey,23,DET/ATL,2129,Starter,Shot Creator,Wing Stopper,-0.19,51.96,-0.51,-0.27,-1.1,-0.09,0.54,32.03,44.67,46.16,30.81,17.13,65.79,63.82
2386,2023-24,Saddiq Bey,24,ATL,2062,Starter,Movement Shooter,Helper,-0.59,50.86,-2.23,-1.59,-1.86,-0.43,0.51,22.94,32.41,0.7,0.19,2.45,52.72,36.69
2387,2025-26,Saddiq Bey,26,NOP,2246,Starter,Shot Creator,Helper,0,53.25,-0.24,-0.04,-0.68,0.27,0.53,36.38,60.36,61.74,57.66,38.92,76.61,54.54
2388,2020-21,Saddiq Bey,21,DET,1909,Starter,Movement Shooter,Helper,0.01,53.25,-0.16,-0.02,-1.89,-0.84,0.53,74.5,60.36,65.26,61.09,2.24,33.34,54.54
2389,2021-22,Saddiq Bey,22,DET,2704,Starter,Shot Creator,Wing Stopper,-0.39,49.5,-0.67,-0.51,-1.49,-0.13,0.5,27.33,19.2,36.95,13.88,6.87,64.36,28.87
2390,2023-24,R.J. Hampton,22,MIA,76,Too Few Games,Low Minute,Point of Attack,0,53.46,-0.96,-0.15,-0.83,-1.04,0.46,36.38,62.42,22.39,42.8,29.65,22.9,5.44
2391,2020-21,R.J. Hampton,19,DEN/ORL,888,Key Rotation,Secondary Ball Handler,Chaser,-1.5,50.15,-0.88,-0.38,-0.79,0.48,0.49,8.39,25.51,25.86,21.73,32.08,81.15,21.64
2392,2021-22,R.J. Hampton,20,ORL,1402,Key Rotation,Primary Ball Handler,Point of Attack,-1.94,47.59,-1.49,-0.77,-2.59,0.33,0.47,4.5,6.97,7.54,5.32,0.14,77.97,9.63
2393,2022-23,R.J. Hampton,21,ORL/DET,750,Rotation,Movement Shooter,Point of Attack,-0.73,53.18,-0.56,-0.21,-0.67,-0.02,0.53,20.33,59.26,42.89,36.68,39.39,68.02,54.54
2394,2024-25,Josh Green,24,CHO,1887,Starter,Stationary Shooter,Point of Attack,-0.49,54.19,-1.02,-0.52,-1.23,-1.15,0.54,25.13,69.96,19.84,13.18,12.78,17.86,63.82
2395,2025-26,Josh Green,25,CHO,887,Rotation,Stationary Shooter,Point of Attack,0,58.33,0.19,0.03,-0.77,-1.65,0.56,36.38,94.62,77.44,69.07,33.37,2.08,79.24
2396,2020-21,Josh Green,20,DAL,445,Rotation,Athletic Finisher,Low Activity,-1.07,51.83,-1.25,-0.34,-0.56,-0.97,0.53,14.37,43.22,12.44,24.5,46.23,26.81,54.54
2397,2021-22,Josh Green,21,DAL,1039,Rotation,Stationary Shooter,Chaser,-0.83,54.85,-0.62,-0.19,-0.43,-0.87,0.54,18.51,76.46,39.45,38.69,54.26,31.78,63.82
2398,2022-23,Josh Green,22,DAL,1539,Key Rotation,Stationary Shooter,Point of Attack,0.32,60.02,0.56,0.32,0.45,-0.78,0.59,80.71,97.24,86.24,81.41,86.75,36.22,91.91
2399,2023-24,Josh Green,23,DAL,1505,Key Rotation,Stationary Shooter,Point of Attack,-0.8,56.64,-0.8,-0.39,-0.64,-1.04,0.56,19.18,88.56,29.79,21.21,41.08,22.9,79.24
2400,2020-21,Jaden McDaniels,20,MIN,1511,Key Rotation,Movement Shooter,Wing Stopper,-0.62,54.32,-0.76,-0.35,-0.45,-1.22,0.54,22.49,71.27,32.07,23.72,53.08,14.38,63.82
2401,2021-22,Jaden McDaniels,21,MIN,1803,Starter,Stationary Shooter,Wing Stopper,-0.07,53.18,-0.9,-0.48,-0.15,-0.98,0.53,34.65,59.26,24.87,15.52,69.69,26.17,54.54
2402,2022-23,Jaden McDaniels,22,MIN,2416,Key Rotation,Stationary Shooter,Point of Attack,0.07,58.27,0.42,0.36,0.55,-0.45,0.57,75.86,94.4,83.58,82.7,88.66,51.75,84.8
2403,2023-24,Jaden McDaniels,23,MIN,2105,Starter,Stationary Shooter,Point of Attack,-0.58,55.56,0.09,0.14,0.92,-0.22,0.56,23.21,82.49,74.7,75.2,93.99,60.77,79.24
2404,2024-25,Jaden McDaniels,24,MIN,2614,Star,Stationary Shooter,Point of Attack,-0.58,53.77,-0.49,-0.26,0.85,-0.17,0.54,23.21,65.76,47.94,31.71,93.16,62.84,63.82
2405,2025-26,Jaden McDaniels,25,MIN,2281,Starter,Athletic Finisher,Point of Attack,0,57.35,1.01,0.96,0.39,0.33,0.56,36.38,91.67,92.94,92.55,85.44,77.97,79.24
2406,2020-21,Kira Lewis Jr.,19,NOP,904,Rotation,Primary Ball Handler,Point of Attack,-1.4,47.97,-1.32,-0.58,-1.14,0.29,0.47,9.47,8.63,10.85,10.6,15.7,77.19,9.63
2407,2021-22,Kira Lewis Jr.,20,NOP,341,Rotation,Primary Ball Handler,Point of Attack,-1.26,49.5,-1.1,-0.44,-0.84,0.27,0.5,11.34,19.2,17.18,17.86,29.14,76.61,28.87
2408,2022-23,Kira Lewis Jr.,21,NOP,235,Garbage Time,Secondary Ball Handler,Chaser,0.37,54.68,-0.08,0.01,-0.53,0.01,0.5,81.71,74.85,68.87,66.93,47.97,69.09,28.87
2409,2023-24,Kira Lewis Jr.,22,NOP/TOR/UTA,264,Garbage Time,Secondary Ball Handler,Chaser,0,49.88,-1.79,-0.46,-1.11,0.3,0.51,36.38,22.91,3.2,16.55,16.87,77.41,36.69
2410,2020-21,Nico Mannion,19,GSW,364,Rotation,Primary Ball Handler,Point of Attack,-2.27,50.24,-0.89,-0.27,-1,0.12,0.49,2.7,26.42,25.33,30.81,21.28,72.29,21.64
2411,2020-21,Jahmi'us Ramsey,19,SAC,94,Garbage Time,Low Minute,Chaser,0,52.69,-0.76,-0.13,-0.63,-0.48,0.47,36.38,53.42,32.07,45.25,41.76,50.66,9.63
2412,2021-22,Jahmi'us Ramsey,20,SAC,134,Garbage Time,Secondary Ball Handler,Chaser,0,51.31,-0.79,-0.15,-0.75,0.11,0.48,36.38,37.21,30.38,42.8,34.48,71.9,14.92
2413,2023-24,Jahmi'us Ramsey,22,TOR,121,Too Few Games,Stationary Shooter,Chaser,-0.94,54.34,-1.14,-0.36,-0.81,-0.68,0.47,16.7,71.45,15.77,23.1,30.82,41.39,9.63
2414,2020-21,Daniel Oturu,21,LAC,161,Garbage Time,Post Scorer,Helper,0,51.73,-0.8,-0.12,-0.58,0.34,0.48,36.38,41.95,29.79,46.53,45,78.1,14.92
2415,2021-22,Daniel Oturu,22,TOR,27,Too Few Games,Low Minute,Mobile Big,0,52.91,-0.24,-0.01,-0.41,-0.45,0.49,36.38,56.08,61.74,63.22,55.75,51.75,21.64
2416,2021-22,Jalen Smith,21,PHO/IND,924,Rotation,Stretch Big,Mobile Big,0.09,54.93,-0.93,-0.42,-0.87,-1.02,0.56,76.15,77.14,23.58,19.17,27.62,24.16,79.24
2417,2022-23,Jalen Smith,22,IND,1279,Rotation,Stretch Big,Helper,-1.85,53.52,-1.66,-0.85,-0.7,-1.11,0.55,5.12,63.15,4.58,3.93,37.37,19.48,72.35
2418,2023-24,Jalen Smith,23,IND,1047,Rotation,Stretch Big,Mobile Big,1.56,63.03,0.55,0.28,0.2,-0.98,0.62,95.92,99.29,86.08,80.45,81.36,26.17,96.33
2419,2020-21,Jalen Smith,20,PHO,156,Garbage Time,Versatile Big,Helper,0,52.77,-0.89,-0.14,-0.79,-1.04,0.48,36.38,54.45,25.33,44.08,32.08,22.9,14.92
2420,2024-25,Jalen Smith,24,CHI,962,Rotation,Stretch Big,Mobile Big,0.64,54.94,-0.54,-0.23,0.24,-1.16,0.55,86.62,77.3,44.11,34.42,82.32,17.44,72.35
2421,2025-26,Jalen Smith,25,CHI,1095,Key Rotation,Stretch Big,Mobile Big,0,57.31,0.13,0.13,-0.37,-1.31,0.57,36.38,91.5,75.84,74.84,58.05,10.5,84.8
2422,2020-21,Tyler Bey,22,DAL,71,Garbage Time,Low Minute,Helper,0,51.97,-0.78,-0.08,-0.51,-0.14,0.47,36.38,44.79,30.93,51.55,49.29,63.88,9.63
2423,2021-22,Elijah Hughes,23,UTA/POR,434,Rotation,Movement Shooter,Helper,-2.37,48.01,-1.5,-0.48,0.03,-0.71,0.52,2.37,8.78,7.26,15.52,76.36,40.05,45.51
2424,2020-21,Elijah Hughes,22,UTA,64,Garbage Time,Low Minute,Helper,0,53.02,-0.56,-0.05,-0.95,-0.58,0.46,36.38,57.47,42.89,56.06,23.4,46.04,5.44
2425,2020-21,Isaiah Stewart,19,DET,1455,Key Rotation,Roll + Cut Big,Mobile Big,-0.56,56.6,-0.99,-0.45,-0.51,-0.9,0.57,23.63,88.27,21.08,17.13,49.29,30.33,84.8
2426,2021-22,Isaiah Stewart,20,DET,1816,Starter,Roll + Cut Big,Mobile Big,-1.61,52.68,-1.97,-1.04,-2.77,-0.43,0.54,7.3,53.32,1.75,2.02,0.05,52.72,63.82
2427,2022-23,Isaiah Stewart,21,DET,1414,Key Rotation,Stretch Big,Mobile Big,-0.77,52.79,-1.76,-1.09,-2.09,-1.02,0.54,19.68,54.72,3.61,1.67,1.4,24.16,63.82
2428,2023-24,Isaiah Stewart,22,DET,1423,Starter,Versatile Big,Helper,-0.26,56.63,-0.93,-0.49,-1.5,-1.27,0.57,30.4,88.5,23.58,14.95,6.74,12.3,84.8
2429,2024-25,Isaiah Stewart,23,DET,1434,Rotation,Roll + Cut Big,Mobile Big,0.01,56.83,-0.62,-0.27,-1.77,-0.84,0.58,74.5,89.4,39.45,30.81,3.27,33.34,88.94
2430,2025-26,Isaiah Stewart,24,DET,1284,Key Rotation,Stretch Big,Mobile Big,0,58.34,-0.39,-0.17,-0.59,-0.91,0.59,36.38,94.66,53.66,40.8,44.42,29.91,91.91
2431,2020-21,Zeke Nnaji,20,DEN,397,Garbage Time,Stretch Big,Helper,0.77,55.96,-0.26,-0.07,-0.42,-1.57,0.55,88.43,84.96,60.7,52.99,55.05,3.39,72.35
2432,2021-22,Zeke Nnaji,21,DEN,698,Rotation,Stretch Big,Helper,0.61,57.2,0.11,0.09,-0.26,-1.17,0.57,86.29,91.15,75.28,73,64.18,17.13,84.8
2433,2022-23,Zeke Nnaji,22,DEN,728,Garbage Time,Stretch Big,Mobile Big,0.23,57.75,-0.91,-0.31,-1.03,-1.28,0.6,78.86,92.78,24.43,27,20.11,11.84,93.84
2434,2023-24,Zeke Nnaji,23,DEN,576,Garbage Time,Roll + Cut Big,Mobile Big,0,52.09,-2.01,-0.53,-1.58,-0.62,0.54,36.38,46.29,1.53,12.83,5.43,44.37,63.82
2435,2024-25,Zeke Nnaji,24,DEN,608,Rotation,Stretch Big,Helper,-0.66,54.71,-1.14,-0.32,-1.08,-1.25,0.56,21.63,75.21,15.77,25.98,18.18,13.03,79.24
2436,2025-26,Zeke Nnaji,25,DEN,592,Rotation,Stretch Big,Helper,0,53.53,-1.34,-0.4,-0.88,-1.37,0.57,36.38,63.3,10.43,20.53,27.22,8.47,84.8
2437,2020-21,Immanuel Quickley,21,NYK,1243,Rotation,Primary Ball Handler,Point of Attack,0.44,50.74,0.32,0.27,0.03,1.17,0.51,83.14,31.32,80.83,80.3,76.36,92.94,36.69
2438,2021-22,Immanuel Quickley,22,NYK,1802,Key Rotation,Primary Ball Handler,Chaser,0.24,49.6,-0.03,0.07,0.2,1.09,0.49,79,20.12,70.65,71.9,81.36,91.85,21.64
2439,2022-23,Immanuel Quickley,23,NYK,2344,Key Rotation,Primary Ball Handler,Chaser,0.89,53.96,0.65,0.65,0.74,0.71,0.54,90.14,67.91,87.99,88.35,91.85,85.52,63.82
2440,2023-24,Immanuel Quickley,24,NYK/TOR,1985,Star,Primary Ball Handler,Chaser,0.94,53.33,0.16,0.37,-0.16,0.85,0.52,90.67,61.07,76.62,82.95,69.19,88.28,45.51
2441,2024-25,Immanuel Quickley,25,TOR,918,Star,Primary Ball Handler,Chaser,0.54,52.41,0.23,0.43,0.15,0.7,0.52,84.96,50.05,78.62,84.48,80.12,85.34,45.51
2442,2025-26,Immanuel Quickley,26,TOR,2215,Starter,Primary Ball Handler,Point of Attack,0,54.29,0.2,0.34,0.13,0.21,0.54,36.38,70.96,77.83,82,79.63,74.86,63.82
2443,2020-21,Paul Reed,21,PHI,177,Garbage Time,Athletic Finisher,Mobile Big,-0.89,53.96,-0.5,-0.08,-0.32,0.28,0.52,17.45,67.91,47.09,51.55,61.08,76.86,45.51
2444,2021-22,Paul Reed,22,PHI,302,Garbage Time,Roll + Cut Big,Mobile Big,0,54.42,-0.5,-0.09,-0.54,-0.15,0.59,36.38,72.25,47.09,50.51,47.47,63.54,91.91
2445,2022-23,Paul Reed,23,PHI,755,Rotation,Roll + Cut Big,Mobile Big,-0.58,57.37,-0.56,-0.2,-1.04,-0.63,0.61,23.21,91.74,42.89,37.41,19.69,43.88,95.26
2446,2023-24,Paul Reed,24,PHI,1590,Rotation,Roll + Cut Big,Mobile Big,-0.33,55.82,-0.1,-0.06,-0.21,-0.51,0.56,28.79,84.11,67.98,54.53,66.9,49.32,79.24
2447,2024-25,Paul Reed,25,DET,436,Garbage Time,Roll + Cut Big,Mobile Big,0,53.8,-0.61,-0.17,-0.84,-0.77,0.52,36.38,66.09,40,40.8,29.14,36.82,45.51
2448,2025-26,Paul Reed,26,DET,869,Rotation,Roll + Cut Big,Mobile Big,0,60.46,0.55,0.21,0.18,-0.38,0.61,36.38,97.77,86.08,78.36,80.91,54.87,95.26
2449,2021-22,Leandro Bolmaro,21,MIN,241,Garbage Time,Secondary Ball Handler,Point of Attack,-0.81,49.31,-1.27,-0.23,-1.02,-0.43,0.46,18.9,18.02,11.89,34.42,20.54,52.72,5.44
2450,2022-23,Leandro Bolmaro,22,UTA,68,Garbage Time,Low Minute,Point of Attack,0,51.25,-1.06,-0.13,-1.03,0.27,0.48,36.38,36.63,18.58,45.25,20.11,76.61,14.92
2451,2023-24,Filip Petrusev,23,PHI/SAC,9,Too Few Games,Low Minute,Helper,0,54.95,-0.6,-0.01,,-1.3,0.48,36.38,77.38,40.56,63.22,,10.91,14.92
2452,2020-21,Aleksej Pokusevski,19,OKC,1090,Key Rotation,Secondary Ball Handler,Low Activity,-4.15,45.3,-2.05,-1.28,-1.85,-0.16,0.46,0.22,1.3,1.38,0.6,2.64,63.12,5.44
2453,2021-22,Aleksej Pokusevski,20,OKC,1233,Rotation,Movement Shooter,Helper,-2.93,48.81,-1.65,-0.87,-1.29,-0.33,0.5,1.06,14.17,4.68,3.69,11.06,56.57,28.87
2454,2022-23,Aleksej Pokusevski,21,OKC,701,Key Rotation,Stretch Big,Anchor Big,-2.34,52.75,-1.22,-0.61,-1.16,-0.89,0.54,2.47,54.26,13.25,9.48,14.92,30.76,63.82
2455,2023-24,Aleksej Pokusevski,22,OKC/CHO,405,Rotation,Movement Shooter,Helper,-1.44,52.28,-1.23,-0.4,-1.42,-0.68,0.51,8.98,48.49,12.95,20.53,8.2,41.39,36.69
2456,2022-23,Isaiah Joe,23,OKC,1395,Key Rotation,Movement Shooter,Low Activity,1.68,58.58,1.14,0.61,-0.53,-1.18,0.59,96.54,95.14,94.56,87.63,47.97,16.52,91.91
2457,2023-24,Isaiah Joe,24,OKC,1445,Key Rotation,Movement Shooter,Low Activity,1.02,59.24,1.12,0.51,0.01,-1.39,0.59,91.44,96.2,94.37,85.93,75.76,7.91,91.91
2458,2024-25,Isaiah Joe,25,OKC,1604,Key Rotation,Movement Shooter,Low Activity,0.87,58.8,1.01,0.64,-1.22,-1.22,0.59,89.83,95.5,92.94,88.11,12.99,14.38,91.91
2459,2025-26,Isaiah Joe,26,OKC,1507,Key Rotation,Movement Shooter,Chaser,0,60.28,1.63,0.98,0.59,-1.27,0.58,36.38,97.51,97.74,92.72,89.47,12.3,88.94
2460,2020-21,Isaiah Joe,21,PHI,383,Garbage Time,Movement Shooter,Low Activity,-0.08,52.68,-0.43,-0.11,-0.15,-1.38,0.54,34.48,53.32,51.4,47.64,69.69,8.06,63.82
2461,2021-22,Isaiah Joe,22,PHI,609,Garbage Time,Movement Shooter,Chaser,0.44,50.49,-0.75,-0.19,-1.22,-1.22,0.52,83.14,28.79,32.56,38.69,12.99,14.38,45.51
2462,2020-21,Cassius Stanley,21,IND,93,Garbage Time,Low Minute,Chaser,0,50.31,-1.24,-0.14,-1.2,0.27,0.46,36.38,27.19,12.74,44.08,13.59,76.61,5.44
2463,2021-22,Cassius Stanley,22,DET,155,Garbage Time,Stationary Shooter,Chaser,-1.29,51.59,-0.7,-0.28,-0.5,-0.43,0.48,10.93,40.17,35.47,29.72,49.91,52.72,14.92
2464,2020-21,Tre Jones,21,SAS,269,Garbage Time,Slasher,Point of Attack,0,52.67,-0.35,-0.07,-0.34,0.71,0.49,36.38,53.13,55.84,52.99,59.89,85.52,21.64
2465,2021-22,Tre Jones,22,SAS,1148,Rotation,Slasher,Point of Attack,0.16,51.37,0.1,0.08,0.77,0.57,0.52,77.57,37.82,75.01,72.35,92.26,83.07,45.51
2466,2022-23,Tre Jones,23,SAS,1984,Starter,Slasher,Point of Attack,-0.88,50.18,-0.42,-0.2,-0.01,1.02,0.5,17.64,25.83,52.09,37.41,75.09,90.78,28.87
2467,2023-24,Tre Jones,24,SAS,2138,Starter,Primary Ball Handler,Point of Attack,0.29,55.63,-0.79,-0.42,-1.01,0.09,0.55,80.13,82.91,30.38,19.17,20.86,71.23,72.35
2468,2024-25,Tre Jones,25,SAS/CHI,905,Rotation,Primary Ball Handler,Point of Attack,-0.13,56.08,-0.34,-0.13,-0.77,0.28,0.53,33.15,85.74,56.63,45.25,33.37,76.86,54.54
2469,2025-26,Tre Jones,26,CHI,1707,Starter,Slasher,Point of Attack,0,57.73,0.66,0.57,1.23,0.71,0.57,36.38,92.71,88.13,86.97,96.5,85.52,84.8
2470,2024-25,Malachi Flynn,26,CHO,44,Too Few Games,Low Minute,Mobile Big,0,53.26,-0.47,-0.03,-0.51,0.04,0.5,36.38,60.52,48.84,59.2,49.29,70.02,28.87
2471,2020-21,Malachi Flynn,22,TOR,928,Rotation,Primary Ball Handler,Point of Attack,-1.25,48.45,-0.89,-0.42,-1.04,0.76,0.48,11.45,11.5,25.33,19.17,19.69,86.59,14.92
2472,2021-22,Malachi Flynn,23,TOR,537,Garbage Time,Shot Creator,Point of Attack,-0.06,50.35,-0.46,-0.12,-0.66,0.42,0.51,34.88,27.58,49.37,46.53,39.94,80.11,36.69
2473,2022-23,Malachi Flynn,24,TOR,691,Garbage Time,Secondary Ball Handler,Point of Attack,-1.56,49.81,-1.21,-0.43,-1.84,0.04,0.49,7.77,22.39,13.54,18.48,2.74,70.02,21.64
2474,2023-24,Malachi Flynn,25,TOR/NYK/DET,877,Rotation,Primary Ball Handler,Point of Attack,-0.89,52.15,-0.7,-0.27,-0.4,0.48,0.52,17.45,47,35.47,30.81,56.24,81.15,45.51
2475,2020-21,Payton Pritchard,23,BOS,1268,Rotation,Primary Ball Handler,Point of Attack,0.47,55.52,0.31,0.18,-1.04,-0.01,0.55,83.66,82.1,80.61,77.02,19.69,68.39,72.35
2476,2021-22,Payton Pritchard,24,BOS,1001,Rotation,Secondary Ball Handler,Point of Attack,0.85,55.26,0.38,0.19,-0.2,-0.27,0.54,89.44,80.09,82.26,77.53,67.47,58.78,63.82
2477,2022-23,Payton Pritchard,25,BOS,643,Rotation,Movement Shooter,Point of Attack,-0.71,53.69,-0.61,-0.22,-1.26,-0.34,0.55,20.68,64.74,40,35.57,12.01,56.24,72.35
2478,2023-24,Payton Pritchard,26,BOS,1826,Key Rotation,Primary Ball Handler,Point of Attack,0.58,57.57,0.35,0.23,0.03,-0.12,0.57,85.78,92.34,81.46,79.16,76.36,64.77,84.8
2479,2024-25,Payton Pritchard,27,BOS,2271,Key Rotation,Primary Ball Handler,Point of Attack,2.44,60.5,1.88,1.56,0.61,-0.05,0.59,98.77,97.83,98.64,96.27,89.78,67.08,91.91
2480,2025-26,Payton Pritchard,28,BOS,2526,Starter,Shot Creator,Chaser,0,55.93,0.74,0.9,0.23,0.87,0.54,36.38,84.8,89.45,91.87,82.12,88.64,63.82
2481,2020-21,Grant Riller,23,CHO,27,Too Few Games,Low Minute,Point of Attack,0,55.23,-0.02,0.03,-0.08,0.06,0.49,36.38,79.84,71.06,69.07,72.57,70.55,21.64
2482,2020-21,Ashton Hagans,21,MIN,4,Too Few Games,Low Minute,Chaser,0,54,,,,,0.48,36.38,68.37,,,,,14.92
2483,2023-24,Ashton Hagans,24,POR,316,Rotation,Primary Ball Handler,Point of Attack,-0.85,52.71,-0.76,-0.21,-1.16,0.24,0.5,18.15,53.68,32.07,36.68,14.92,75.83,28.87
2484,2023-24,Lamar Stevens,26,BOS/MEM,559,Key Rotation,Athletic Finisher,Helper,-0.63,51.08,-1.41,-0.54,-1.52,0.45,0.52,22.2,34.72,9,12.33,6.48,80.62,45.51
2485,2024-25,Lamar Stevens,27,MEM,155,Garbage Time,Stationary Shooter,Wing Stopper,0,53.6,-0.57,-0.1,-0.12,-0.33,0.5,36.38,63.86,42.29,49.29,70.95,56.57,28.87
2486,2020-21,Lamar Stevens,23,CLE,499,Rotation,Athletic Finisher,Chaser,-1.83,51.13,-0.88,-0.27,-0.62,-0.05,0.53,5.31,35.39,25.86,30.81,42.3,67.08,54.54
