player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Kemba,Walker,Kemba Walker,615d00e0e771e94fc0d2926e,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,40,0.5052410901467506,241,229,0.950207468879668,71,84,120,204,0.4117647058823529,0.49754901960784315,49,53,102,0.4803921568627451,35,67,102,0.3431372549019608,26,3,29,0.896551724137931,4,14,96,25,6120261cea4488c9fd5c57c5,,PandRBallHandler
Trae,Young,Trae Young,5bb2ae87aeda71993907f6b5,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,85,0.5047784535186794,1162,1114,0.9586919104991394,66,385,491,876,0.4394977168949772,0.5136986301369864,255,259,514,0.4961089494163424,130,232,362,0.35911602209944754,214,25,239,0.895397489539749,13,61,494,176,6120261cea4488c9fd5c57c5,,PandRBallHandler
James,Bouknight,James Bouknight,615dd267e771e94fc030255b,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,35,0.1906779661016949,45,42,0.9333333333333333,81,18,22,40,0.45,0.5,14,17,31,0.45161290322580644,4,5,9,0.4444444444444444,2,0,2,1.0,0,1,19,4,6120261cea4488c9fd5c57c5,,PandRBallHandler
Immanuel,Quickley,Immanuel Quickley,5fd42b7d5fe05a0e9f828c94,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,82,0.34717784877529284,326,305,0.9355828220858896,79,105,162,267,0.39325842696629215,0.4737827715355805,62,74,136,0.45588235294117646,43,88,131,0.3282442748091603,52,11,63,0.8253968253968254,11,33,128,35,6120261cea4488c9fd5c57c5,,PandRBallHandler
Lonzo,Ball,Lonzo Ball,615d0923e771e94fc00a6bb6,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,39,0.20809248554913296,108,80,0.7407407407407407,255,31,50,81,0.38271604938271603,0.47530864197530864,16,36,52,0.3076923076923077,15,14,29,0.5172413793103449,3,2,5,0.6,1,3,33,25,6120261cea4488c9fd5c57c5,,PandRBallHandler
Joe,Harris,Joe Harris,57ab81d7576202139867c67a,Brooklyn Nets,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Brooklyn,BKN,54457dd3300969b132fcfe3d,17,,4,1,0.25,,0,1,1,0.0,0.0,0,0,0,,0,1,1,0.0,1,1,2,0.5,0,1,1,2,6120261cea4488c9fd5c57c5,,PandRBallHandler
Ayo,Dosunmu,Ayo Dosunmu,615d0923e771e94fc00a6bd0,Chicago Bulls,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Chicago,CHI,54457dd3300969b132fcfe4b,86,0.14500683994528044,106,97,0.9150943396226415,100,44,31,75,0.5866666666666667,0.5866666666666667,44,27,71,0.6197183098591549,0,4,4,0.0,9,1,10,0.9,2,5,48,27,6120261cea4488c9fd5c57c5,,PandRBallHandler
Quentin,Grimes,Quentin Grimes,615d00e0e771e94fc0d29297,New York Knicks,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,NewYork,NYK,54457dd3300969b132fcfe3e,50,0.05673758865248227,16,3,0.1875,350,1,10,11,0.09090909090909091,0.13636363636363635,0,3,3,0.0,1,7,8,0.125,0,0,0,,0,0,1,5,6120261cea4488c9fd5c57c5,,PandRBallHandler
Kelly,Olynyk,Kelly Olynyk,615e4bcfe771e94fc0e9eb03,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,44,0.03935185185185185,17,9,0.5294117647058824,324,3,8,11,0.2727272727272727,0.3181818181818182,2,3,5,0.4,1,5,6,0.16666666666666666,2,0,2,1.0,0,1,4,5,6120261cea4488c9fd5c57c5,,PandRBallHandler
Tremont,Waters,Tremont Waters,61d11150df8a6a3c11eee1a4,Washington Wizards,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Washington,WAS,54457dd3300969b132fcfe41,1,,1,2,2.0,,1,0,1,1.0,1.0,1,0,1,1.0,0,0,0,,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,PandRBallHandler
