player_firstName,player_lastName,player_name,player_id,team_fullName,team_conference_name,team_conference_abbr,team_conference_id,team_division_name,team_division_abbr,team_division_id,team_name,team_abbr,team_id,stats_gp,stats_timePercent,stats_possessions,stats_points,stats_ppp,stats_pppRank,stats_fgMade,stats_fgMiss,stats_fgAttempt,stats_fgPercent,stats_fgPercentEffective,stats_shot2Made,stats_shot2Miss,stats_shot2Attempt,stats_shot2Percent,stats_shot3Made,stats_shot3Miss,stats_shot3Attempt,stats_shot3Percent,stats_ftMade,stats_ftMiss,stats_ftAttempt,stats_ftPercent,stats_plusOne,stats_shotFoul,stats_score,stats_turnover,SeasonID,SeasonLabel,QueryPlayType
Cade,Cunningham,Cade Cunningham,615e4bcfe771e94fc0e9eab4,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,64,0.14510097232610322,194,154,0.7938144329896907,480,62,69,131,0.4732824427480916,0.5152671755725191,51,38,89,0.5730337078651685,11,31,42,0.2619047619047619,19,5,24,0.7916666666666666,0,7,73,51,6120261cea4488c9fd5c57c5,,Transition
Cassius,Stanley,Cassius Stanley,615e4bcfe771e94fc0e9eb33,Detroit Pistons,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Detroit,DET,54457dd3300969b132fcfe4d,9,,6,7,1.1666666666666667,,1,3,4,0.25,0.375,0,0,0,,1,3,4,0.25,4,0,4,1.0,0,2,3,0,6120261cea4488c9fd5c57c5,,Transition
Terry,Taylor,Terry Taylor,615d00e0e771e94fc0d29289,Indiana Pacers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Indiana,IND,54457dd3300969b132fcfe4e,35,0.11940298507462686,32,34,1.0625,318,15,9,24,0.625,0.625,15,7,22,0.6818181818181818,0,2,2,0.0,4,2,6,0.6666666666666666,0,3,17,5,6120261cea4488c9fd5c57c5,,Transition
Ed,Davis,Ed Davis,6170afeee771e94fc0c8eb59,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,31,,2,2,1.0,,1,1,2,0.5,0.5,1,1,2,0.5,0,0,0,,0,0,0,,0,0,1,0,6120261cea4488c9fd5c57c5,,Transition
Sharife,Cooper,Sharife Cooper,615baae0e771e94fc0d00126,Atlanta Hawks,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Atlanta,ATL,54457dd3300969b132fcfe49,17,,9,6,0.6666666666666666,,3,4,7,0.42857142857142855,0.42857142857142855,3,2,5,0.6,0,2,2,0.0,0,0,0,,0,0,3,2,6120261cea4488c9fd5c57c5,,Transition
Omer,Yurtseven,Omer Yurtseven,60b05108569beabf90f950fc,Miami Heat,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Miami,MIA,54457dd3300969b132fcfe3c,70,0.06182795698924731,23,29,1.2608695652173914,108,12,4,16,0.75,0.75,12,4,16,0.75,0,0,0,,5,4,9,0.5555555555555556,1,5,16,3,6120261cea4488c9fd5c57c5,,Transition
Denzel,Valentine,Denzel Valentine,615d0923e771e94fc00a6bb2,Cleveland Cavaliers,Eastern Conference,EC,54457dce300969b132fcfb48,Central Division,CD,54457dd0300969b132fcfba0,Cleveland,CLE,54457dd3300969b132fcfe4c,25,0.15476190476190477,13,14,1.0769230769230769,306,5,5,10,0.5,0.6,3,1,4,0.75,2,4,6,0.3333333333333333,2,0,2,1.0,0,0,6,2,6120261cea4488c9fd5c57c5,,Transition
Mohamed,Bamba,Mohamed Bamba,5bb2a653aeda719939f466a8,Orlando Magic,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Orlando,ORL,54457dd3300969b132fcfe3f,75,0.10951760104302477,84,108,1.2857142857142858,90,40,37,77,0.5194805194805194,0.6428571428571429,21,11,32,0.65625,19,26,45,0.4222222222222222,9,2,11,0.8181818181818182,3,7,44,3,6120261cea4488c9fd5c57c5,,Transition
Cody,Martin,Cody Martin,5d9a87a67455336e87b9df7c,Charlotte Hornets,Eastern Conference,EC,54457dce300969b132fcfb48,Southeast Division,SD,54457dd0300969b132fcfba1,Charlotte,CHA,54457dd3300969b132fcfe58,76,0.2601054481546573,148,171,1.1554054054054055,217,64,47,111,0.5765765765765766,0.6216216216216216,54,33,87,0.6206896551724138,10,14,24,0.4166666666666667,33,9,42,0.7857142857142857,2,18,83,17,6120261cea4488c9fd5c57c5,,Transition
Sam,Hauser,Sam Hauser,615baa6de771e94fc0c847f8,Boston Celtics,Eastern Conference,EC,54457dce300969b132fcfb48,Atlantic Division,AD,54457dd0300969b132fcfb9f,Boston,BOS,54457dd3300969b132fcfe3b,36,0.2318840579710145,16,9,0.5625,507,3,11,14,0.21428571428571427,0.25,2,1,3,0.6666666666666666,1,10,11,0.09090909090909091,2,0,2,1.0,0,1,4,1,6120261cea4488c9fd5c57c5,,Transition
