Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2025-26,1628368,De'Aaron Fox,1610612759,SAS,18,13,5,584.0,412,1380,492,110.8,4.82,4.4,0.299,5,1,13,1.4,2.0,1.231
2025-26,1629631,De'Andre Hunter,1610612739,CLE,24,13,11,686.0,366,1103,610,45.5,2.48,1.78,0.332,25,3,39,0.72,0.0,0.923
2025-26,1629001,De'Anthony Melton,1610612744,GSW,5,1,4,92.0,38,211,88,13.4,3.81,3.23,0.18,2,0,2,1.0,0.0,1.0
2025-26,201599,DeAndre Jordan,1610612740,NOP,2,0,2,23.0,9,35,27,0.8,1.38,0.23,0.257,3,0,6,0.667,0.0,1.5
2025-26,201942,DeMar DeRozan,1610612758,SAC,26,6,20,854.0,459,1047,717,63.8,3.65,2.93,0.438,42,56,22,0.595,0.786,1.182
2025-26,1629731,Dean Wade,1610612739,CLE,26,14,12,586.0,140,708,411,18.4,1.56,0.66,0.198,17,0,37,0.765,0.0,0.568
2025-26,1629028,Deandre Ayton,1610612747,LAL,23,16,7,676.0,352,966,491,25.2,1.56,0.46,0.364,97,26,229,0.588,0.846,1.096
2025-26,1630166,Deni Avdija,1610612757,POR,26,10,16,888.0,662,2246,953,145.7,3.89,3.35,0.295,28,17,38,0.464,0.353,0.658
2025-26,203471,Dennis Schröder,1610612758,SAC,19,5,14,550.0,240,1345,495,105.3,4.7,4.23,0.178,2,1,5,1.0,0.0,0.8
2025-26,1641726,Dereck Lively II,1610612742,DAL,7,3,4,115.0,30,170,103,4.8,1.7,0.42,0.176,14,0,33,0.143,0.0,0.848
2025-26,1642852,Derik Queen,1610612740,NOP,28,6,22,717.0,359,1479,799,70.5,2.86,1.72,0.243,46,36,90,0.63,0.472,1.089
2025-26,1627884,Derrick Jones Jr.,1610612746,LAC,13,4,9,324.0,136,388,191,14.3,2.22,1.44,0.351,7,0,26,1.429,0.0,1.346
2025-26,1628401,Derrick White,1610612738,BOS,25,14,11,830.0,444,1989,843,134.0,4.04,3.46,0.223,5,0,21,1.2,0.0,0.667
2025-26,1630217,Desmond Bane,1610612753,ORL,27,15,12,905.0,499,1676,911,91.9,3.29,2.33,0.298,15,0,35,0.8,0.0,0.771
2025-26,1626164,Devin Booker,1610612756,PHX,24,14,10,827.0,602,1637,973,121.8,4.46,3.88,0.368,16,20,43,0.688,0.3,0.651
2025-26,1642269,Devin Carter,1610612758,SAC,9,1,8,86.0,32,146,72,7.9,3.26,2.84,0.219,1,0,7,2.0,0.0,0.571
