Season,PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2024-25,1642402,Enrique Freeman,1610612754,IND,24.0,22,14,0.541,9,20,0.45,0.45,0.541,9,20,0.45,0.0,0,0,
2024-25,1630550,JT Thor,1610612764,WAS,22.0,20,13,0.339,9,20,0.45,0.475,0.305,8,18,0.444,0.034,1,2,0.5
2024-25,1629162,Jordan McLaughlin,1610612759,SAS,29.0,46,15,0.278,8,20,0.4,0.45,0.208,6,15,0.4,0.069,2,5,0.4
2024-25,1630543,Isaiah Jackson,1610612754,IND,23.0,5,4,0.826,11,19,0.579,0.579,0.826,11,19,0.579,0.0,0,0,
2024-25,1630699,MarJon Beauchamp,1610612752,NYK,24.0,35,12,0.277,10,18,0.556,0.583,0.231,9,15,0.6,0.046,1,3,0.333
2024-25,202066,Garrett Temple,1610612761,TOR,38.0,28,13,0.3,8,18,0.444,0.444,0.267,8,16,0.5,0.033,0,2,0.0
2024-25,1631248,Baylor Scheierman,1610612738,BOS,24.0,31,10,0.164,8,18,0.444,0.444,0.136,8,15,0.533,0.027,0,3,0.0
2024-25,1630696,Dru Smith,1610612748,MIA,27.0,14,9,0.295,8,18,0.444,0.472,0.23,7,14,0.5,0.066,1,4,0.25
2024-25,1627814,Damion Lee,1610612756,PHX,32.0,25,13,0.243,7,18,0.389,0.417,0.23,6,17,0.353,0.014,1,1,1.0
2024-25,1641775,Jordan Walsh,1610612738,BOS,21.0,52,14,0.205,8,17,0.471,0.471,0.205,8,17,0.471,0.0,0,0,
2024-25,1642285,Cam Spencer,1610612763,MEM,25.0,25,11,0.207,7,17,0.412,0.441,0.171,6,14,0.429,0.037,1,3,0.333
2024-25,1630214,Xavier Tillman,1610612738,BOS,26.0,33,13,0.321,7,17,0.412,0.412,0.321,7,17,0.412,0.0,0,0,
2024-25,1642355,Bronny James,1610612747,LAL,20.0,27,8,0.254,7,17,0.412,0.441,0.224,6,15,0.4,0.03,1,2,0.5
2024-25,201988,Patty Mills,1610612746,LAC,36.0,29,9,0.177,5,17,0.294,0.382,0.063,2,6,0.333,0.115,3,11,0.273
2024-25,1628470,Torrey Craig,1610612738,BOS,34.0,26,10,0.178,9,16,0.563,0.563,0.144,9,13,0.692,0.033,0,3,0.0
2024-25,1629052,Oshae Brissett,1610612755,PHI,26.0,6,6,0.41,8,16,0.5,0.5,0.385,8,15,0.533,0.026,0,1,0.0
2024-25,1629723,John Konchar,1610612763,MEM,29.0,46,10,0.176,8,16,0.5,0.531,0.132,7,12,0.583,0.044,1,4,0.25
2024-25,1630528,Josh Christopher,1610612748,MIA,23.0,14,4,0.484,5,15,0.333,0.333,0.484,5,15,0.333,0.0,0,0,
2024-25,1641727,Dariq Whitehead,1610612751,BKN,20.0,20,9,0.156,4,15,0.267,0.267,0.146,4,14,0.286,0.01,0,1,0.0
2024-25,1630165,Killian Hayes,1610612751,BKN,23.0,6,6,0.326,5,14,0.357,0.357,0.326,5,14,0.357,0.0,0,0,
2024-25,1630346,Matt Ryan,1610612752,NYK,28.0,19,9,0.452,4,14,0.286,0.321,0.29,3,9,0.333,0.161,1,5,0.2
2024-25,1641772,Nae'Qwan Tomlin,1610612739,CLE,24.0,5,4,0.438,4,14,0.286,0.286,0.406,4,13,0.308,0.031,0,1,0.0
2024-25,1641790,PJ Hall,1610612743,DEN,23.0,19,11,0.542,8,13,0.615,0.615,0.5,8,12,0.667,0.042,0,1,0.0
2024-25,1630585,Marcus Garrett,1610612766,CHA,26.0,4,4,0.481,5,13,0.385,0.385,0.481,5,13,0.385,0.0,0,0,
2024-25,1642352,Keshad Johnson,1610612748,MIA,23.0,16,5,0.462,9,12,0.75,0.75,0.462,9,12,0.75,0.0,0,0,
2024-25,1628995,Kevin Knox II,1610612744,GSW,25.0,14,8,0.333,7,12,0.583,0.583,0.333,7,12,0.583,0.0,0,0,
2024-25,1629001,De'Anthony Melton,1610612751,BKN,26.0,6,4,0.222,4,12,0.333,0.333,0.204,4,11,0.364,0.019,0,1,0.0
2024-25,1626196,Josh Richardson,1610612748,MIA,31.0,8,7,0.316,2,12,0.167,0.167,0.263,2,10,0.2,0.053,0,2,0.0
2024-25,1630283,Kylor Kelley,1610612740,NOP,27.0,11,6,0.5,7,11,0.636,0.636,0.5,7,11,0.636,0.0,0,0,
2024-25,1641753,Chris Livingston,1610612749,MIL,21.0,21,8,0.407,5,11,0.455,0.455,0.407,5,11,0.455,0.0,0,0,
2024-25,1631321,Sidy Cissoko,1610612757,POR,21.0,22,7,0.367,5,11,0.455,0.455,0.333,5,10,0.5,0.033,0,1,0.0
2024-25,1641890,Tyler Smith,1610612749,MIL,20.0,23,8,0.22,4,11,0.364,0.364,0.2,4,10,0.4,0.02,0,1,0.0
2024-25,1641989,Elijah Harkless,1610612762,UTA,25.0,10,7,0.314,3,11,0.273,0.273,0.2,3,7,0.429,0.114,0,4,0.0
2024-25,1631306,Cole Swider,1610612761,TOR,25.0,10,6,0.175,3,11,0.273,0.318,0.095,2,6,0.333,0.079,1,5,0.2
2024-25,1641725,Trey Alexander,1610612743,DEN,21.0,24,7,0.244,4,10,0.4,0.4,0.195,4,8,0.5,0.049,0,2,0.0
