Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2025-26,1642948,Ryan Nembhard,1610612742,DAL,G,22.0,16,14,0.347,0.88,2.63,0.333,0.377,-0.043
2025-26,1629655,Daniel Gafford,1610612742,DAL,F-C,27.0,18,17,0.228,0.44,2.61,0.17,0.332,-0.162
2025-26,1642261,Dalton Knecht,1610612747,LAL,F,24.0,20,18,0.433,1.15,2.6,0.442,0.369,0.073
2025-26,1629006,Josh Okogie,1610612745,HOU,G,27.0,25,23,0.364,1.04,2.56,0.406,0.357,0.05
2025-26,1631121,Bryce McGowens,1610612740,NOP,G,23.0,16,14,0.398,0.75,2.56,0.293,0.362,-0.07
2025-26,203937,Kyle Anderson,1610612762,UTA,F-G,32.0,9,9,0.383,0.89,2.56,0.348,0.328,0.02
2025-26,1641722,Jordan Hawkins,1610612740,NOP,G,23.0,22,19,0.455,0.91,2.55,0.357,0.352,0.005
2025-26,1642345,Oso Ighodaro,1610612756,PHX,F,23.0,28,23,0.295,0.68,2.54,0.268,0.361,-0.094
2025-26,1641731,Bilal Coulibaly,1610612764,WAS,G,21.0,13,12,0.303,0.92,2.54,0.364,0.38,-0.016
2025-26,1630568,Luka Garza,1610612738,BOS,C,26.0,19,16,0.312,0.89,2.53,0.354,0.352,0.002
2025-26,1630579,Jericho Sims,1610612749,MIL,C,27.0,21,18,0.495,0.57,2.52,0.226,0.352,-0.125
2025-26,1642285,Cam Spencer,1610612763,MEM,G,25.0,27,23,0.352,0.93,2.52,0.368,0.36,0.008
2025-26,1642920,Kobe Sanders,1610612746,LAC,G,23.0,20,19,0.376,1.05,2.5,0.42,0.35,0.07
2025-26,1630639,A.J. Lawson,1610612761,TOR,G,25.0,2,2,0.5,1.5,2.5,0.6,0.488,0.112
2025-26,1631207,Dalen Terry,1610612741,CHI,F,23.0,12,11,0.417,1.0,2.5,0.4,0.345,0.055
2025-26,1641752,Bobi Klintman,1610612765,DET,F,22.0,6,6,0.682,1.17,2.5,0.467,0.329,0.138
2025-26,1630811,Keaton Wallace,1610612737,ATL,G,26.0,26,22,0.448,1.0,2.5,0.4,0.356,0.044
2025-26,1642877,Micah Peavy,1610612740,NOP,G-F,24.0,23,21,0.491,0.57,2.48,0.228,0.356,-0.128
2025-26,1641729,Brice Sensabaugh,1610612762,UTA,F,22.0,25,23,0.411,1.16,2.48,0.468,0.366,0.102
2025-26,1642266,Ja'Kobe Walter,1610612761,TOR,G,21.0,26,23,0.327,0.92,2.46,0.375,0.356,0.019
2025-26,1641711,Gradey Dick,1610612761,TOR,G-F,22.0,28,22,0.436,0.89,2.43,0.368,0.35,0.017
