Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
2025-26,1641717,Cason Wallace,1610612760,OKC,24,23,1,27.8,27.8,10386.3,2.0,1.0,1.0,4.5,4.71,4.3
2025-26,1642907,Cedric Coward,1610612763,MEM,24,11,13,27.1,27.1,10580.0,2.0,1.1,1.0,4.63,4.96,4.32
2025-26,1629646,Charles Bassey,1610612763,MEM,2,0,2,15.3,15.3,5635.0,1.1,0.6,0.5,4.36,4.74,4.0
2025-26,1642404,Chaz Lanier,1610612765,DET,13,12,1,10.3,10.3,4003.2,0.8,0.4,0.4,4.63,4.7,4.45
2025-26,1631096,Chet Holmgren,1610612760,OKC,21,21,0,28.7,28.7,10430.0,2.0,1.1,0.9,4.36,4.76,3.98
2025-26,1628449,Chris Boucher,1610612738,BOS,8,3,5,11.3,11.3,4068.3,0.8,0.4,0.4,4.32,4.38,4.25
2025-26,1641753,Chris Livingston,1610612739,CLE,3,2,1,5.8,5.8,2226.0,0.4,0.2,0.2,4.67,4.81,4.52
2025-26,1643024,Chris Mañon,1610612747,LAL,2,1,1,3.5,3.5,1143.5,0.2,0.1,0.1,3.53,4.43,2.94
2025-26,101108,Chris Paul,1610612746,LAC,16,4,12,14.2,14.2,4650.6,0.9,0.5,0.4,3.93,4.07,3.77
2025-26,1642959,Chris Youngblood,1610612760,OKC,19,19,0,5.6,5.6,2111.5,0.4,0.2,0.2,4.43,4.58,4.26
2025-26,1631128,Christian Braun,1610612743,DEN,11,9,2,29.6,29.6,10887.9,2.1,1.1,1.0,4.41,4.6,4.22
2025-26,1631132,Christian Koloko,1610612747,LAL,2,1,1,3.2,3.2,1129.0,0.2,0.1,0.1,3.71,4.24,3.29
2025-26,1642935,Chucky Hepburn,1610612761,TOR,2,0,2,6.6,6.6,2727.5,0.5,0.3,0.3,4.85,5.36,4.43
2025-26,203991,Clint Capela,1610612745,HOU,21,15,6,11.7,11.7,4083.2,0.8,0.4,0.4,4.17,4.19,4.21
2025-26,1629632,Coby White,1610612741,CHI,7,2,5,29.2,29.2,10528.3,2.0,1.1,0.9,4.32,4.83,3.81
2025-26,1628998,Cody Martin,1610612754,IND,4,0,4,13.8,13.8,5396.5,1.0,0.5,0.5,4.67,5.2,4.21
2025-26,1642262,Cody Williams,1610612762,UTA,13,4,9,12.1,12.1,4750.3,0.9,0.5,0.4,4.53,4.65,4.41
2025-26,1641732,Colby Jones,1610612765,DET,1,0,1,6.8,6.8,2799.0,0.5,0.2,0.3,4.51,4.58,4.46
