Sport,Slate_Date,Lineup_Rank,Name,Adjusted_FP,Adjusted_Rating,Multiplier_Factor,Team,Opponent,Is_Home,Game_Key,Position,Salary,Base_FP,Multiplier_Bonus,Real_Rating,Multiplier_Status,Matched_Real_Name,Matched_Real_Team,Matched_Real_ID,Rotowire_Site,Rotowire_Coverage_Games,Rotowire_Selected_Slates_Count,Rotowire_Selected_Slates,Source_Slate_ID,Source_Contest_Type,Source_Slate_Start_Date,Source_Coverage_Games
golf,2026-08-16,45,J.T. Poston,25.52,119.87,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,6700,23.20,0.1000,108.97,ok,J.T. Poston,,49771,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,46,Harry Hall,25.33,127.96,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8000,25.33,0.0000,127.96,ok,Harry Hall,,57975,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,47,Jordan Spieth,25.21,82.95,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8200,25.21,0.0000,82.95,ok,Jordan Spieth,,34046,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,48,Max Homa,25.16,93.78,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7200,25.16,0.0000,93.78,ok,Max Homa,,39977,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,49,Michael Kim,25.15,119.53,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7400,22.86,0.1000,108.66,ok,Michael Kim,,39975,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,50,Jacob Bridgeman,25.09,107.41,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,8700,25.09,0.0000,107.41,ok,Jacob Bridgeman,,60004,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,51,Brian Harman,25.03,114.26,1.1000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7600,22.75,0.1000,103.87,ok,Brian Harman,,27644,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,52,Matt McCarty,24.93,106.56,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,6900,24.93,0.0000,106.56,ok,Matt McCarty,,59141,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,53,Gary Woodland,24.93,98.69,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7700,24.93,0.0000,98.69,ok,Gary Woodland,,31323,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
golf,2026-08-16,54,Ryo Hisatsune,24.86,99.37,1.0000,,,N,2026-08-16 03:00:00|TPC Southwind,G,7300,24.86,0.0000,99.37,ok,Ryo Hisatsune,,51287,FanDuel,4,6,4768:Full Roster:1/1 | 4763:Full Roster:1/1 | 4764:Full Roster:1/1 | 4765:Full Roster:1/1 | 4766:Full Roster:1/1 | 4767:Full Roster:1/1,4768,Full Roster,2026-08-16 03:00:00,1
