id,Name,firstName,lastName,normalized_name
33490,Bo Hoag,Bo,Hoag,bo hoag
10423,Mike Weir,Mike,Weir,mike weir
64624,Tommy Morrison,Tommy,Morrison,tommy morrison
47125,Matt Atkins,Matt,Atkins,matt atkins
23541,Ben Crane,Ben,Crane,ben crane
66282,José Cristóbal Islas,José Cristóbal,Islas,jose cristobal islas
63544,Patrick Sheehan,Patrick,Sheehan,patrick sheehan
61193,David Puig,David,Puig,david puig
58858,Gavin Cohen,Gavin,Cohen,gavin cohen
67428,Hunter Thomson,Hunter,Thomson,hunter thomson
39489,Bobby Massa,Bobby,Massa,bobby massa
52411,Kyle Westmoreland,Kyle,Westmoreland,kyle westmoreland
54602,Cristian DiMarco,Cristian,DiMarco,cristian dimarco
49371,Otto Black,Otto,Black,otto black
59137,RJ Manke,RJ,Manke,rj manke
58668,Austen Christiansen,Austen,Christiansen,austen christiansen
68002,Gerardo Gomez,Gerardo,Gomez,gerardo gomez
34579,Alexander Levy,Alexander,Levy,alexander levy
56149,Wilson Furr,Wilson,Furr,wilson furr
65577,Owen Stamper,Owen,Stamper,owen stamper
22764,Michael Block,Michael,Block,michael block
51776,Michael Feuerstein,Michael,Feuerstein,michael feuerstein
32367,Jorge Campillo,Jorge,Campillo,jorge campillo
56555,Myles Creighton,Myles,Creighton,myles creighton
35778,Kazuki Higa,Kazuki,Higa,kazuki higa
26851,Marc Leishman,Marc,Leishman,marc leishman
57298,Preston Summerhays,Preston,Summerhays,preston summerhays
67607,Kye Meeks,Kye,Meeks,kye meeks
66562,Justin Matthews,Justin,Matthews,justin matthews
56100,Ren Yonezawa,Ren,Yonezawa,ren yonezawa
65580,Ben Warian,Ben,Warian,ben warian
65574,Zach Reuland,Zach,Reuland,zach reuland
57872,Andi Xu,Andi,Xu,andi xu
65408,Barend Botha,Barend,Botha,barend botha
47894,Wei-Hsuan Wang,Wei-Hsuan,Wang,wei hsuan wang
46405,Sebastian Soderberg,Sebastian,Soderberg,sebastian soderberg
65466,Max Kennedy,Max,Kennedy,max kennedy
23481,Marcel Siem,Marcel,Siem,marcel siem
27466,Spencer Levin,Spencer,Levin,spencer levin
67090,Dominic Clemons,Dominic,Clemons,dominic clemons
66742,Jackson Buchanan,Jackson,Buchanan,jackson buchanan
54655,Patrick Flavin,Patrick,Flavin,patrick flavin
54422,Christo Lamprecht,Christo,Lamprecht,christo lamprecht
67986,Tyler Loree,Tyler,Loree,tyler loree
35946,Willy Pumarol,Willy,Pumarol,willy pumarol
59862,Joe Hooks,Joe,Hooks,joe hooks
25804,Bubba Watson,Bubba,Watson,bubba watson
59871,Greg Koch,Greg,Koch,greg koch
31557,Jim Herman,Jim,Herman,jim herman
46113,Ryan McCormick,Ryan,McCormick,ryan mccormick
68584,Matthew Javier,Matthew,Javier,matthew javier
24461,Thomas Aiken,Thomas,Aiken,thomas aiken
34087,Carlos Sainz Jr,Carlos,Sainz Jr,carlos sainz jr
19803,Ryan Armour,Ryan,Armour,ryan armour
57342,Seungbin Choi,Seungbin,Choi,seungbin choi
45734,John Catlin,John,Catlin,john catlin
37428,Evan Harmeling,Evan,Harmeling,evan harmeling
48051,Yannik Paul,Yannik,Paul,yannik paul
54334,Ben Cook,Ben,Cook,ben cook
58351,Josh Goldenberg,Josh,Goldenberg,josh goldenberg
60518,Luke Gifford,Luke,Gifford,luke gifford
27963,Chris Stroud,Chris,Stroud,chris stroud
59680,Jose Antonio Safa,Jose Antonio,Safa,jose antonio safa
48699,Callum Tarren,Callum,Tarren,callum tarren
60386,Sudarshan Yellamaraju,Sudarshan,Yellamaraju,sudarshan yellamaraju
33974,Dean Burmester,Dean,Burmester,dean burmester
57492,Eugenio Chacarra,Eugenio,Chacarra,eugenio chacarra
58381,Kyle Mendoza,Kyle,Mendoza,kyle mendoza
48237,Oliver Lindell,Oliver,Lindell,oliver lindell
47128,Richy Werenski,Richy,Werenski,richy werenski
