NBA_ID,Season,Player,Free Throw Rating
2730,2014-15,Dwight Howard,71.83433500355966
2730,2015-16,Dwight Howard,45.736029293569146
2730,2016-17,Dwight Howard,47.497675177117
2730,2017-18,Dwight Howard,52.55555576014562
2730,2018-19,Dwight Howard,44.40642461430913
2730,2019-20,Dwight Howard,45.68456049621703
2730,2020-21,Dwight Howard,52.97636194256131
2730,2021-22,Dwight Howard,65.53265305407416
2731,2017-18,Emeka Okafor,82.77253280992396
2732,2013-14,Ben Gordon,76.80067546899201
2732,2014-15,Ben Gordon,80.67101579242582
2733,2013-14,Shaun Livingston,80.95931954780247
2733,2014-15,Shaun Livingston,76.67496796999974
2733,2015-16,Shaun Livingston,86.81878600546358
2733,2016-17,Shaun Livingston,71.98973393991582
2733,2017-18,Shaun Livingston,83.70135358535072
2733,2018-19,Shaun Livingston,80.138918921486
2734,2013-14,Devin Harris,80.09193747368305
2734,2014-15,Devin Harris,80.30062318879966
2734,2015-16,Devin Harris,73.86455335754994
2734,2016-17,Devin Harris,85.13614294842058
2734,2017-18,Devin Harris,85.84258199469299
2734,2018-19,Devin Harris,78.35091707432716
2735,2013-14,Josh Childress,49.39104995725861
2736,2013-14,Luol Deng,80.38024122905969
2736,2014-15,Luol Deng,79.0617168232466
2736,2015-16,Luol Deng,77.8166323700135
2736,2016-17,Luol Deng,75.07087889278812
2736,2017-18,Luol Deng,49.400325780998685
2736,2018-19,Luol Deng,74.29691726524663
2738,2013-14,Andre Iguodala,74.90645372678527
2738,2014-15,Andre Iguodala,72.7708571575927
2738,2015-16,Andre Iguodala,59.95069226711802
2738,2016-17,Andre Iguodala,72.15891300712212
2738,2017-18,Andre Iguodala,62.58049959094647
2738,2018-19,Andre Iguodala,56.59178655479191
2738,2019-20,Andre Iguodala,48.11301072251714
2738,2020-21,Andre Iguodala,68.5536636114795
2738,2021-22,Andre Iguodala,77.39501932569908
2738,2022-23,Andre Iguodala,65.98782725547713
2740,2013-14,Andris Biedrins,49.52373125861159
2742,2014-15,Sebastian Telfair,76.7683768285751
2743,2013-14,Kris Humphries,80.22809408251962
2743,2014-15,Kris Humphries,77.91501689547388
2743,2015-16,Kris Humphries,81.99831328586535
2743,2016-17,Kris Humphries,80.11148978974035
2744,2013-14,Al Jefferson,76.80022462465803
2744,2014-15,Al Jefferson,75.1619940068216
2744,2015-16,Al Jefferson,64.47866368932267
2744,2016-17,Al Jefferson,78.52973799117456
2744,2017-18,Al Jefferson,84.17760434469204
2746,2013-14,Josh Smith,71.24523585053474
2746,2014-15,Josh Smith,69.45310485509728
2746,2015-16,Josh Smith,52.41369080950092
2746,2017-18,Josh Smith,49.399334471591345
2747,2013-14,JR Smith,74.80314044607341
2747,2014-15,JR Smith,77.81452033681187
2747,2015-16,JR Smith,62.91171121729527
2747,2016-17,JR Smith,71.63953102460071
2747,2017-18,JR Smith,71.6637848087529
2747,2018-19,JR Smith,76.73506588006104
2747,2019-20,JR Smith,76.4925342495478
2748,2013-14,Dorell Wright,77.93838132134586
2748,2014-15,Dorell Wright,79.62472043224467
2749,2013-14,Jameer Nelson,81.65609312968883
2749,2014-15,Jameer Nelson,74.89273911806875
2749,2015-16,Jameer Nelson,85.32234593062783
2749,2016-17,Jameer Nelson,73.35633382640219
2749,2017-18,Jameer Nelson,80.94583234090379
2754,2013-14,Tony Allen,74.10189085503687
2754,2014-15,Tony Allen,74.01671076169143
2754,2015-16,Tony Allen,64.50547134840508
2754,2016-17,Tony Allen,59.28050460726134
2754,2017-18,Tony Allen,38.695466532254116
2755,2013-14,Kevin Martin,84.01620761378985
2755,2014-15,Kevin Martin,83.75389468653962
2755,2015-16,Kevin Martin,88.99919264889685
2756,2013-14,Sasha Vujacic,49.39104995725861
2756,2015-16,Sasha Vujacic,83.1344021560507
2756,2016-17,Sasha Vujacic,56.60975218064057
2757,2013-14,Beno Udrih,80.33870041168325
2757,2014-15,Beno Udrih,81.34339362613686
2757,2015-16,Beno Udrih,86.50637285524549
2757,2016-17,Beno Udrih,89.55629844321531
2760,2013-14,Anderson Varejao,75.87863386348126
2760,2014-15,Anderson Varejao,77.52668451542823
2760,2015-16,Anderson Varejao,46.58875762777158
2760,2016-17,Anderson Varejao,68.0337946505922
2760,2020-21,Anderson Varejao,48.03905901479265
2767,2013-14,Royal Ivey,49.39104995725861
2772,2013-14,Trevor Ariza,79.02061715009773
2772,2014-15,Trevor Ariza,81.56691534745936
2772,2015-16,Trevor Ariza,80.66145867165221
2772,2016-17,Trevor Ariza,75.73262464992652
2772,2017-18,Trevor Ariza,86.49835481670496
2772,2018-19,Trevor Ariza,82.21293800371349
2772,2019-20,Trevor Ariza,85.26663149515558
2772,2020-21,Trevor Ariza,79.63670786072355
2772,2021-22,Trevor Ariza,60.92133619925399
2853,2014-15,Earl Barron,58.818313706760826
