NBA_ID,Season,Player,Ball Handle Rating,Speed with Ball Rating,Pass Accuracy Rating,Pass IQ Rating,Pass Vision Rating
1629658,2020-21,Jaylen Hoard,70.73623021772475,72.7952339238467,67.48976878038695,69.8058772831453,65.84837615635145
1629658,2021-22,Jaylen Hoard,51.143123902951174,57.27044144727937,52.382867902535764,62.50867090559204,65.69576995060429
1629659,2019-20,Talen Horton-Tucker,51.241613259371796,60.447673584938634,45.32862651235242,55.12420038699343,54.665982676380715
1629659,2020-21,Talen Horton-Tucker,83.18713139986215,79.45652454433385,78.28026186558975,81.43774177742813,80.51010714486225
1629659,2021-22,Talen Horton-Tucker,76.75072990017718,75.40675183413101,75.8723174381582,79.20037535651714,78.11615955711333
1629659,2022-23,Talen Horton-Tucker,84.26637512000389,82.13206491484263,82.69944745380363,84.64897000565765,84.25696674920822
1629659,2023-24,Talen Horton-Tucker,79.9535603253375,81.96358046141498,83.49782333627758,83.4960601880188,84.08304581374242
1629659,2024-25,Talen Horton-Tucker,78.01109593188657,87.89694201414902,75.83660641532263,77.19451328612094,74.13283082658276
1629660,2019-20,Ty Jerome,79.01325733800147,68.84293476391638,75.21662000346576,76.2061243641009,75.62671315657488
1629660,2020-21,Ty Jerome,83.09571480197256,76.76806993986543,81.03371430782366,83.05825001666362,81.81300220993431
1629660,2021-22,Ty Jerome,81.13454169850176,73.87542889359813,77.81064544131243,79.18174651802852,78.21520622927764
1629660,2022-23,Ty Jerome,81.0590373311433,72.55407673948511,81.13009420642575,79.15133636103208,80.79103275317597
1629660,2023-24,Ty Jerome,62.0093624624571,56.86092515168459,67.65423243171479,67.92914923231336,57.37058317800279
1629660,2024-25,Ty Jerome,90.24675679693102,82.41008260323923,84.74694925903297,86.85911665870074,84.17431270050388
1629660,2025-26,Ty Jerome,97.18776091022174,88.33400539980236,88.752903040261,94.57096920178608,92.0645458332268
1629661,2019-20,Cameron Johnson,66.58641267287013,68.73737214651877,65.51313363303946,63.768412473941936,66.54918459616692
1629661,2020-21,Cameron Johnson,67.17387029145296,64.35037910714637,67.27163045055572,68.3788330546756,68.17376854523796
1629661,2021-22,Cameron Johnson,69.62633363773107,70.48840653311223,70.78026996143356,69.18667758975302,68.94306979573993
1629661,2022-23,Cameron Johnson,72.59218354032598,69.80133440059973,72.45909927301477,72.90426832095203,74.00018610334136
1629661,2023-24,Cameron Johnson,73.27627154017426,67.62374936779308,74.56869504202436,75.90717298005468,75.57550925044335
1629661,2024-25,Cameron Johnson,78.88602478304655,77.50574115327959,77.5850338631036,79.8124722669108,79.70733359937753
1629661,2025-26,Cameron Johnson,73.57038996684078,74.67288106052065,75.19963644039066,71.05843973623793,75.84964096928458
1629662,2019-20,Mfiondu Kabengele,34.887982992490514,28.879364615839552,38.79757149324523,42.47448744383392,40.24101210972288
1629662,2020-21,Mfiondu Kabengele,34.40564576847952,28.76996602082665,39.596018917787646,46.15289082619916,43.66972010684465
1629662,2022-23,Mfiondu Kabengele,31.009476784018524,27.71108264112407,36.53965482825769,45.69885110376398,42.01581187035395
1629663,2019-20,Louis King,43.82334214114943,39.074661243904536,60.01621588073805,52.522353489630014,50.121247914809885
1629663,2020-21,Louis King,70.75335652088596,50.86781050777701,59.94735376674247,63.0410330998821,58.3282232917373
1629663,2021-22,Louis King,58.6937328355357,56.35187667996102,54.98083215938767,60.608095295188534,50.85797070562815
1629663,2022-23,Louis King,60.915035737257185,31.960148884962912,54.65798280214241,67.29069098250982,68.11602894585111
1629665,2019-20,Jalen Lecque,41.75210283762358,56.794770864572335,41.35746153230068,53.730082749628714,49.73963738040802
1629665,2020-21,Jalen Lecque,69.99699636409994,65.28314452720552,52.27441602266757,57.696865305507245,53.270344310689005
1629667,2019-20,Jalen McDaniels,44.73988070468462,40.943065052341375,39.9773918795361,43.940876309031694,48.21459798827951
1629667,2020-21,Jalen McDaniels,72.11563705931937,66.71923284650849,58.245505152105835,64.32147500635038,65.62187162984635
1629667,2021-22,Jalen McDaniels,72.87719804034067,73.43586081062814,66.6277986099936,66.57484999353399,64.71669923411025
1629667,2022-23,Jalen McDaniels,70.27568240359004,77.07613162433414,63.52384473228105,65.69906254253539,70.50970940546073
1629667,2023-24,Jalen McDaniels,69.6876378728002,67.81264677098913,62.65708982727247,63.898491847090476,62.78196724902884
1629667,2024-25,Jalen McDaniels,51.24162312069306,41.859072050739414,52.477070504771184,55.124411084241636,52.35196938094645
1629668,2019-20,Zach Norvell Jr,43.54305415638079,39.06953914032683,47.49158242499827,51.156645462557364,50.713074406177206
1629669,2019-20,Jaylen Nowell,59.40630728375905,50.023528314062716,65.29495198150967,62.74413615108935,54.84011799366047
1629669,2020-21,Jaylen Nowell,79.98359055549093,77.88498176525901,73.59985095082747,71.79965466305724,70.54753164152808
1629669,2021-22,Jaylen Nowell,84.62344832468547,79.14405361543959,79.41169452505004,78.14686215681853,77.35257959012893
1629669,2022-23,Jaylen Nowell,79.762456703387,84.61645078113649,73.8890238736561,75.64095716512719,75.43173692733568
1629669,2023-24,Jaylen Nowell,70.57497428921982,55.09807943788523,59.02236774226748,60.36674910928711,55.71111563340827
1629669,2024-25,Jaylen Nowell,69.76174968719948,51.47217900520593,65.179489005744,72.77226030275685,73.00047214533538
1629670,2020-21,Jordan Nwora,71.61075811629377,68.41177654724234,38.623652948743654,44.27148909828638,44.908849612057764
1629670,2021-22,Jordan Nwora,76.32066486643556,67.96101936530046,60.88943692637298,65.3960446213502,63.91824239239417
1629670,2022-23,Jordan Nwora,72.03554994909618,72.71962882665602,67.06312283450669,69.61159605003976,69.07312375850903
1629670,2023-24,Jordan Nwora,75.4166016576653,77.26276815063761,68.39390667275472,74.20298310856948,70.53675868711909
1629671,2019-20,Miye Oni,42.97644840354643,45.91837469256085,44.27746905233452,46.32928060438555,48.84012036467952
1629671,2020-21,Miye Oni,36.87520166992022,29.83507061203499,49.52881325858079,46.14080932153535,42.31827582475373
1629671,2021-22,Miye Oni,38.63270385447315,29.12329241922493,61.97761715794991,54.48348740386794,52.18655458676282
1629672,2019-20,Eric Paschall,79.82704349542931,75.28395740808124,66.06350653835784,71.01224637094458,74.88003347893618
1629672,2020-21,Eric Paschall,77.52092807540141,75.65014994502117,64.7961584698474,69.2473430982196,70.35481925332338
1629672,2021-22,Eric Paschall,45.06829089971559,30.509717989883246,47.703939791927766,46.96647353986237,47.35187541733366
1629673,2019-20,Jordan Poole,74.2113439933791,71.38490485988845,76.83642152836521,79.30444810599153,77.7841260593899
1629673,2020-21,Jordan Poole,74.71945087527813,72.04012540547038,74.73635351138982,75.94844942000374,76.40333733782808
1629673,2021-22,Jordan Poole,86.32818121813273,81.25509128076942,78.76198146741355,84.24027667077463,83.55003682545117
1629673,2022-23,Jordan Poole,83.19087800804698,82.54004659979368,79.27299426609356,84.92865964266817,85.0237560521063
1629673,2023-24,Jordan Poole,86.06132062894035,84.80565106251248,81.71061447772536,84.60017766608262,83.22622512143313
1629673,2024-25,Jordan Poole,86.74657461636974,90.44388308024615,80.1914059255622,86.27601179180411,86.04146641280873
