NBA ID,Season,Player,3-Point Shot Rating,,Three-Point Shot,FG3A,3PT Shooting Talent,3PT Shot Making,C&S 3PT Shot Making,3PT Pull Up Talent,3PT Pull Up Shot Making,3PT Pull Up Shot Creation,3PT Shot Creation,3PT Shot Making Efficiency,C&S 3PT Shot Making Efficiency,Stable FG3%,Stable C&S 3PT%,Stable ATB 3PT%,Stable Pull Up 3PT%,FG3M,3PT Functional Versatility,Stable 3PTA Per 75,Off-Ball Gravity,Stable Corner 3PT%,3PT Attempt Rate,FG3_PCT
201158,2018-19,Marco Belinelli,85.33105529905382,1.425861536062924,0.8675059407765111,5.0,1.4408742405025445,1.3584904954504475,1.4382229103491986,0.9471836951993059,0.6229278259819483,0.030821090989059947,0.36013768981750643,1.4999125686815862,1.4866609740795695,0.5763966721987205,-0.30974031505274047,0.7034859445206855,0.039654196242242236,1.2257936072184925,2.0683813967067772,1.161349280810642,1.2447556630774599,-0.1300454276628152,0.8782357437324734,0.5588120780559765
201158,2019-20,Marco Belinelli,83.0776730685738,1.0184637910618655,0.5201390881014447,3.1,0.7077384524090556,0.34975224816467404,0.14845746339738014,0.6683473460694364,0.40072911124476357,-0.1716635066973191,0.15737322506743154,0.7309502093408262,0.37011304688593344,0.5400501792145939,-0.30974031505274047,0.21842974999781486,0.5859148069413876,0.38570859631189747,1.5752735780326892,0.8894139548414263,0.2901765397661003,0.9171314713352888,0.8531159659979276,0.5853491040409197
201160,2013-14,Jason Smith,25.0,-3.0,-1.3535801073263478,0.0,,,,,,,,,,,,,,-1.0544371366708367,,,,,,-1.9091313385437252
201160,2014-15,Jason Smith,73.82114162447257,-0.02388089180169792,-0.3686139703818938,0.5,,,,,,,,,,,,,,-0.8144128478403811,,,,,,0.45929823061244013
201160,2015-16,Jason Smith,33.74356880381018,-2.8874986566899543,-0.6786519127019908,0.2,-0.40307334773259373,0.03796042627634411,-0.004565555732496646,-0.29490549637920344,0.08965091061270483,-1.136443060379478,-0.9041583845064902,0.18889477570717564,0.07236693296763048,-0.8592898006742276,-0.30974031505274047,-0.5162877211177109,-1.9633013763212888,-0.9344249922556089,-0.8080808788920687,-1.561729120333147,-1.654336489201484,-0.29061255217585563,-1.5471685100298207,-0.25056721448478586
201160,2016-17,Jason Smith,80.64732039181106,0.727623024738869,0.27215430451615225,1.1,0.21898126034673002,0.6982254608633958,0.8261308338296915,-0.751183158591717,,,-0.7729578484917358,1.6385779121692643,1.6851583833584383,1.806119684828294,-0.30974031505274047,1.2456075736933094,-0.05138923887428307,-0.4543764145946975,0.013765485564744285,-0.731022576618968,-1.83111040092581,1.2382657203613747,-0.6262595155829944,1.2355062406720236
201160,2017-18,Jason Smith,52.55956247420621,-1.9498134531352966,-2.010756423313593,1.0,-1.5363707637495918,-1.7140080853366868,-1.8571223765989529,-1.839903815133039,,,-1.7848851699476225,-2.8028437943885636,-3.0,-2.537757669711236,-1.3097403150527405,-1.7873485357040177,-1.0513892388742831,-1.934424992255609,-2.903876031501153,-1.2542044708099325,-3.0,-2.288921195887381,-1.4414497222502656,-2.0798492765142553
201160,2018-19,Jason Smith,63.24534039492818,-0.8290826087108955,-1.0551675647582712,1.3,-1.0920460436929318,-1.090424441560027,-1.2013094374709097,-1.827229435627136,,,-1.7848851699476225,0.01193872078194625,-1.0020695955119452,0.00822980726866075,-1.3097403150527405,-1.052631064588492,-1.0513892388742831,-1.4543764145946976,-1.931357833560591,-1.0046199935505151,-1.9708106972007575,-1.3813678834223597,0.054534528089796225,0.07340106773923089
201162,2013-14,Jared Dudley,81.32952768548024,0.8076897617092527,0.34042304376823695,3.0,,,,,,,,,,,,,,0.2656964518966698,,,,,,0.4792010001011474
201162,2014-15,Jared Dudley,81.1300865455794,0.7842825049447743,0.3204648942404017,2.7,,,,,,,,,,,,,,0.14568430748144182,,,,,,0.6450574125070415
