NBA_ID,Season,Player,RotationRole,MIN,Hands,Hands Aggregate Z,Hands Rating,MissingMetricCount,MissingMetrics,Playmaking Talent Raw,Playmaking Talent Z,Playmaking Talent MatchedBy,Touches Per 75 Raw,Touches Per 75 Z,Touches Per 75 MatchedBy,TOUCHES Raw,TOUCHES Z,TOUCHES MatchedBy
1630314,2025-26,Brandon Williams,Key Rotation,1465.2,0.5929388795026285,0.792957501985443,89.26788006125983,0,,0.32,0.7306497424632985,season+player,63.3,0.30183665452621883,season+player,48.3,0.746330241518368,season+player
1630322,2021-22,Lindy Waters,Rotation,465.00000000000006,-0.6277614393743904,-0.26950873880715565,76.9951144541906,0,,-0.76,-0.5515024407158937,season+player,44.34,-0.8459790370972662,season+player,23.1,-0.4858028403100115,season+player
1630322,2022-23,Lindy Waters,Rotation,528.9,-0.8515189952122852,-0.46426157496495385,74.55857928146264,0,,-1.03,-0.8720404865106917,season+player,44.2,-0.8544544694193806,season+player,16.1,-0.8280620297067836,season+player
1630322,2023-24,Lindy Waters,Garbage Time,281.2,-1.7807565737383777,-1.2730461239589972,62.83086373006731,0,,-1.07,-1.9195276044062175,season+player,53.66,-1.2817573996536546,season+player,9.7,-2.140984717155261,season+player
1630322,2024-25,Lindy Waters,Rotation,780.0,-0.3413449078554487,-0.02021913771674846,79.78548227020737,0,,-0.51,-0.25470795386885847,season+player,54.6,-0.22485092549088656,season+player,21.9,-0.5444758442066011,season+player
1630322,2025-26,Lindy Waters,Garbage Time,284.0,-0.9806676904214564,-0.5766692859979033,73.096290347523,0,,-0.84,-0.646476676506945,season+player,38.92,-1.1740993455676931,season+player,10.1,-1.1214270491897311,season+player
1630346,2021-22,Matt Ryan,Too Few Games,5.3,-1.5816096544134794,-1.0997137544424558,65.5419178876398,0,,-0.67,-1.444656425450961,season+player,56.25,-1.124961901694539,season+player,9.0,-2.1752106360949384,season+player
1630346,2022-23,Matt Ryan,Garbage Time,309.4,-1.9185090117780488,-1.3929423120247675,60.360104565542336,0,,-0.75,-1.5396306612420123,season+player,39.67,-2.1286952438420803,season+player,10.8,-2.0872011302500537,season+player
1630346,2023-24,Matt Ryan,Rotation,389.2,-0.79180504065066,-0.41228808086091756,75.22381423444317,0,,-1.06,-0.907655824932336,season+player,42.74,-0.9428411207785731,season+player,22.3,-0.5249181762410712,season+player
1630346,2024-25,Matt Ryan,Garbage Time,68.4,-1.850715085692889,-1.3339362179962726,61.809216432997815,0,,-0.91,-1.729579132824115,season+player,50.69,-1.4615576424870802,season+player,5.2,-2.3610084817674717,season+player
